t_ulog_s,t_rel_trans_s,vtol_state,cas_reported_mps,groundspeed_mps,alt_m,pusher_cmd,pusher_pwm_us,battery_a,battery_v,body_ax_mps2
570.000,-3.570,3.000,-4.862,0.281,18.667,,1000.000,18.796,14.138,-0.506
570.100,-3.470,3.000,-5.015,0.261,18.667,,1000.000,18.861,14.106,0.322
570.200,-3.370,3.000,-5.136,0.243,18.665,,1000.000,19.227,14.057,0.405
570.300,-3.270,3.000,-5.534,0.230,18.664,,1000.000,19.062,13.982,-0.702
570.400,-3.170,3.000,-6.033,0.214,18.663,,1000.000,18.359,13.880,-0.253
570.500,-3.070,3.000,-6.096,0.179,18.663,,1000.000,18.426,13.889,-0.473
570.600,-2.970,3.000,-6.002,0.157,18.662,,1000.000,19.016,13.973,0.365
570.700,-2.870,3.000,-5.707,0.149,18.661,,1000.000,19.260,14.109,0.201
570.800,-2.770,3.000,-5.339,0.129,18.660,,1000.000,19.271,14.281,-0.620
570.900,-2.670,3.000,-5.512,0.113,18.658,,1000.000,19.117,14.295,-0.158
571.000,-2.570,3.000,-5.880,0.105,18.656,,1000.000,18.851,14.203,-0.577
571.100,-2.470,3.000,-5.617,0.089,18.654,,1000.000,18.747,14.095,-0.445
571.200,-2.370,3.000,-5.128,0.069,18.651,,1000.000,18.808,13.971,0.051
571.300,-2.270,3.000,-4.868,0.055,18.648,,1000.000,18.657,13.912,-0.085
571.400,-2.170,3.000,-4.689,0.048,18.645,,1000.000,18.293,13.918,0.144
571.500,-2.070,3.000,-5.202,0.050,18.643,,1000.000,18.314,13.891,-0.385
571.600,-1.970,3.000,-5.964,0.059,18.641,,1000.000,18.727,13.829,-0.425
571.700,-1.870,3.000,-5.888,0.069,18.638,,1000.000,18.924,13.795,-0.488
571.800,-1.770,3.000,-5.511,0.090,18.636,,1000.000,18.902,13.789,-0.291
571.900,-1.670,3.000,-5.473,0.108,18.634,,1000.000,18.730,13.776,-0.518
572.000,-1.570,3.000,-5.558,0.116,18.631,,1000.000,18.457,13.759,0.265
572.100,-1.470,3.000,-5.854,0.124,18.628,,1000.000,18.238,13.738,0.284
572.200,-1.370,3.000,-6.227,0.127,18.625,,1000.000,18.055,13.715,0.068
572.300,-1.270,3.000,-5.900,0.122,18.623,,1000.000,18.116,13.802,0.006
572.400,-1.170,3.000,-5.321,0.121,18.621,,1000.000,18.342,13.964,0.028
572.500,-1.070,3.000,-5.300,0.111,18.620,,1000.000,18.260,14.060,0.011
572.600,-0.970,3.000,-5.481,0.091,18.618,,1000.000,17.865,14.090,0.013
572.700,-0.870,3.000,-5.253,0.094,18.617,,1000.000,17.940,14.060,0.273
572.800,-0.770,3.000,-4.878,0.102,18.614,,1000.000,18.492,13.970,-0.540
572.900,-0.670,3.000,-4.768,0.117,18.610,,1000.000,18.708,13.902,0.546
573.000,-0.570,3.000,-4.753,0.117,18.605,,1000.000,18.583,13.856,0.095
573.100,-0.470,3.000,-4.898,0.100,18.600,,1000.000,18.624,14.004,0.333
573.200,-0.370,3.000,-5.100,0.094,18.595,,1000.000,18.835,14.350,0.496
573.300,-0.270,3.000,-5.133,0.081,18.591,,1000.000,18.757,14.293,0.240
573.400,-0.170,3.000,-5.105,0.059,18.587,,1000.000,18.482,13.964,0.176
573.500,-0.070,3.000,-5.275,0.050,18.583,,1000.000,18.186,13.784,-0.252
