[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-18-04-11-35-184776-doksuri-209
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [telemetry_node-1]: process started with pid [211]
[INFO] [offboard_node-2]: process started with pid [213]
[offboard_node-2] [INFO] [1784347896.008450771] [offboard_node]: ARM 요청
[offboard_node-2] [INFO] [1784347896.323685066] [offboard_node]: CommandTOL 이륙 요청 altitude=5.0m -> CLIMBING
[telemetry_node-1] [INFO] [1784347897.757306174] [telemetry_node]: pos_ned=[ 0.64464885  0.47000408 -2.75685692]  yaw=-2.949  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347899.724645994] [telemetry_node]: pos_ned=[ 0.65493625  0.54027623 -2.93531799]  yaw=-2.952  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347901.724598168] [telemetry_node]: pos_ned=[ 0.67217225  0.56121135 -3.07264709]  yaw=-2.950  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347903.724387825] [telemetry_node]: pos_ned=[ 0.79347676  0.55418545 -3.13964653]  yaw=2.969  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347905.724319319] [telemetry_node]: pos_ned=[ 0.6817261   0.49207926 -3.14295006]  yaw=-2.630  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347907.724593107] [telemetry_node]: pos_ned=[ 1.08043933  0.31035846 -3.03345299]  yaw=-1.763  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347909.724644286] [telemetry_node]: pos_ned=[ 1.01356673  0.54041666 -2.86331367]  yaw=-1.484  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347911.724445735] [telemetry_node]: pos_ned=[ 0.73436165  0.583987   -2.64203072]  yaw=-1.397  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347913.724522957] [telemetry_node]: pos_ned=[ 0.82704204  0.59249932 -2.42417145]  yaw=-1.317  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347915.724455666] [telemetry_node]: pos_ned=[ 0.80351919  0.59963149 -2.18078232]  yaw=-1.322  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347917.724429520] [telemetry_node]: pos_ned=[ 0.81911534  0.64470631 -1.95331383]  yaw=-1.324  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347919.724604596] [telemetry_node]: pos_ned=[ 0.7998119   0.71644837 -1.78608894]  yaw=-1.327  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347921.724940116] [telemetry_node]: pos_ned=[ 0.77547294  0.82325006 -1.65016365]  yaw=-1.327  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347923.724388380] [telemetry_node]: pos_ned=[ 0.80808908  0.93404078 -1.52876663]  yaw=-1.326  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347925.724444843] [telemetry_node]: pos_ned=[ 0.80412316  1.05419862 -1.47048569]  yaw=-1.327  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347927.724516547] [telemetry_node]: pos_ned=[ 0.81572711  1.14942658 -1.36680412]  yaw=-1.266  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347929.724664462] [telemetry_node]: pos_ned=[ 0.83013868  1.25281584 -1.28964043]  yaw=-1.267  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347931.724928378] [telemetry_node]: pos_ned=[ 0.8339985   1.2976737  -1.18667984]  yaw=-1.268  armed=True  vtol=0
[telemetry_node-1] [INFO] [1784347933.724807038] [telemetry_node]: pos_ned=[ 0.89884651  1.35537326 -1.13792992]  yaw=-1.267  armed=True  vtol=0
