[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-22-02-36-820530-DESKTOP-Kilogram-697
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [724]
[mavros_node-1] [INFO] [1785157357.019723702] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785157357.019821312] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785157357.019828909] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785157357.019832570] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785157357.019835717] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785157357.031026519] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785157357.031076762] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785157357.031088282] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785157357.031092371] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785157357.031124224] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785157357.072662542] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785157357.072713724] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785157357.073003839] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785157357.073027335] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785157357.073042950] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785157357.076340792] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785157357.082195085] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785157357.107338856] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785157357.107422147] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785157357.136436149] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785157357.136515251] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785157357.142031664] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785157357.142095725] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785157357.147010507] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785157357.147064546] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785157357.152359396] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785157357.152403172] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785157357.157607733] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785157357.157646934] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785157357.166382608] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785157357.166448680] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785157357.172180646] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785157357.172227491] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785157357.180628394] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785157357.180704179] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785157357.180715191] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785157357.187552980] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785157357.187611513] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785157357.194141816] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785157357.194207111] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785157357.203020403] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785157357.203089900] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785157357.215789149] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785157357.215853983] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785157357.224999244] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785157357.225068753] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785157357.238852815] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785157357.238932051] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785157357.253758128] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785157357.253834268] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785157357.262221021] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785157357.262283239] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785157357.270011854] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785157357.270061817] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785157357.278542168] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785157357.278612319] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785157357.287386860] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785157357.287475978] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785157357.299156055] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785157357.299217949] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785157357.308630448] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785157357.308712540] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785157357.319880135] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785157357.319950683] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785157357.331325620] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785157357.331387170] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785157357.343958882] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785157357.344028476] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785157357.357434245] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785157357.357519789] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785157357.368287442] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785157357.368336975] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785157357.380067083] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785157357.380134701] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785157357.392390187] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785157357.392441636] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785157357.408070460] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785157357.408129084] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785157357.419728079] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785157357.419785886] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785157357.431697925] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785157357.431768054] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785157357.444807268] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785157357.444882723] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785157357.459058060] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785157357.459129684] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785157357.471971208] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785157357.472031989] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785157357.488497899] [mavros.mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1785157357.488586268] [mavros.mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1785157357.503360254] [mavros.mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1785157357.503446899] [mavros.mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1785157357.519774177] [mavros.mavros]: Plugin param created
[mavros_node-1] [INFO] [1785157357.519857204] [mavros.mavros]: Plugin param initialized
[mavros_node-1] [INFO] [1785157357.536571063] [mavros.mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1785157357.536637386] [mavros.mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1785157357.555209701] [mavros.mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1785157357.555273111] [mavros.mavros]: Plugin px4flow initialized
[mavros_node-1] [INFO] [1785157357.575081676] [mavros.mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1785157357.575291325] [mavros.mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1785157357.575317576] [mavros.mavros]: Plugin rangefinder ignored
[mavros_node-1] [INFO] [1785157357.594144282] [mavros.mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1785157357.594308437] [mavros.mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1785157357.612160127] [mavros.mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1785157357.612215592] [mavros.mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1785157357.632968240] [mavros.mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1785157357.633076908] [mavros.mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1785157357.655565909] [mavros.mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1785157357.655697466] [mavros.mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1785157357.679592598] [mavros.mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1785157357.679681775] [mavros.mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1785157357.703857891] [mavros.mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1785157357.703971886] [mavros.mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1785157357.724507261] [mavros.mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1785157357.724586365] [mavros.mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1785157357.747957999] [mavros.mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1785157357.748079803] [mavros.mavros]: Plugin sim_state initialized
[mavros_node-1] [INFO] [1785157357.782817673] [mavros.mavros]: Plugin sys_status created
[mavros_node-1] [INFO] [1785157357.782907394] [mavros.mavros]: Plugin sys_status initialized
[mavros_node-1] [INFO] [1785157357.806935321] [mavros.time]: TM: Timesync mode: MAVLINK
[mavros_node-1] [INFO] [1785157357.812890652] [mavros.mavros]: Plugin sys_time created
[mavros_node-1] [INFO] [1785157357.812987847] [mavros.mavros]: Plugin sys_time initialized
[mavros_node-1] [INFO] [1785157357.839103416] [mavros.mavros]: Plugin tdr_radio created
[mavros_node-1] [INFO] [1785157357.839185819] [mavros.mavros]: Plugin tdr_radio initialized
