[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-21-42-39-571739-DESKTOP-Kilogram-690
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [721]
[mavros_node-1] [INFO] [1785156159.850825144] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785156159.850954391] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156159.850969283] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785156159.850977457] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785156159.850984717] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785156159.866030645] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785156159.866103388] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785156159.866119619] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785156159.866125623] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785156159.866176831] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785156159.935701055] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156159.935835689] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785156159.936508822] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785156159.936550933] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785156159.936578000] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785156159.941520665] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785156159.944824263] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785156159.979611632] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785156159.979726826] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785156160.018507277] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785156160.018611006] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785156160.027516838] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785156160.027608076] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785156160.036857607] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785156160.036951737] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785156160.046475320] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785156160.046564940] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785156160.056034250] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785156160.056116716] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785156160.072418103] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785156160.072535034] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785156160.081914101] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785156160.081972184] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785156160.095194485] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785156160.095314261] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785156160.095335556] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785156160.106953019] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785156160.107046029] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785156160.118053993] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785156160.118151356] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785156160.131081373] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785156160.131183644] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785156160.153680587] [mavros.mavros]: Plugin ftp created
