[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-21-51-39-712959-DESKTOP-Kilogram-692
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [721]
[mavros_node-1] [INFO] [1785156699.992951372] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785156699.993849810] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156699.994347935] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785156699.994395708] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785156699.994404246] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785156700.013701450] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785156700.013791181] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785156700.013813168] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785156700.013822012] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785156700.013898476] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785156700.080849082] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156700.080937113] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785156700.081605300] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785156700.081647458] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785156700.081675617] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785156700.086753146] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785156700.090093264] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785156700.124921938] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785156700.125037907] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785156700.168154255] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785156700.168250768] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785156700.177960408] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785156700.178093917] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785156700.187242235] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785156700.187335448] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785156700.196771297] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785156700.196861327] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785156700.205825920] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785156700.205997247] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785156700.222964177] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785156700.223075178] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785156700.233098958] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785156700.233162298] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785156700.247108626] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785156700.247225385] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785156700.247243734] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785156700.259605531] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785156700.259714966] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785156700.270558307] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785156700.270671778] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785156700.284363667] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785156700.284458919] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785156700.306637790] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785156700.306742102] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785156700.332805284] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785156700.332955676] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785156700.365161772] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785156700.365299993] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785156700.396491235] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785156700.396634857] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785156700.412041221] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785156700.412118051] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785156700.427895107] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785156700.427978496] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785156700.444652179] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785156700.444768848] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785156700.461513486] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785156700.461671251] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785156700.482815820] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785156700.482941607] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785156700.502797684] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785156700.502909622] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785156700.525699335] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785156700.525929130] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785156700.550344527] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785156700.550450616] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785156700.577248278] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785156700.577363724] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785156700.603687452] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785156700.603849252] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785156700.624492640] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785156700.624618742] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785156700.646547175] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785156700.646663884] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785156700.668342354] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785156700.668437347] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785156700.695608850] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785156700.695753980] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785156700.716301831] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785156700.716395567] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785156700.737700420] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785156700.737856794] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785156700.760115826] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785156700.760225863] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785156700.792859412] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785156700.793026531] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785156700.818115974] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785156700.818219069] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785156700.849052150] [mavros.mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1785156700.849182545] [mavros.mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1785156700.880194040] [mavros.mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1785156700.880306510] [mavros.mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1785156700.909302517] [mavros.mavros]: Plugin param created
[mavros_node-1] [INFO] [1785156700.909427336] [mavros.mavros]: Plugin param initialized
