[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-21-53-40-233291-DESKTOP-Kilogram-688
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [718]
[mavros_node-1] [INFO] [1785156820.522969943] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785156820.523108405] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156820.523121175] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785156820.523127415] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785156820.523132871] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785156820.540395568] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785156820.540461191] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785156820.540480246] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785156820.540489616] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785156820.540570545] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785156820.611599760] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156820.611681904] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785156820.612362331] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785156820.612432858] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785156820.612457910] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785156820.618115334] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785156820.620869652] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785156820.655723202] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785156820.655833808] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785156820.699096174] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785156820.699198320] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785156820.709319201] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785156820.709416225] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785156820.719694733] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785156820.719793281] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785156820.729784331] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785156820.729905420] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785156820.740109467] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785156820.740204830] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785156820.759082511] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785156820.759202284] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785156820.771961363] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785156820.772079596] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785156820.790350344] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785156820.790503876] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785156820.790529510] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785156820.807064151] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785156820.807223632] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785156820.825247174] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785156820.825450077] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785156820.845469978] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785156820.845601350] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785156820.872647844] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785156820.872808104] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785156820.891646092] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785156820.891786205] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785156820.921039406] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785156820.921210876] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785156820.951634526] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785156820.951770573] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785156820.968357193] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785156820.968483540] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785156820.987489112] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785156820.987599249] [mavros.mavros]: Plugin gps_rtk initialized
