[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-21-55-54-495541-DESKTOP-Kilogram-788
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [797]
[mavros_node-1] [INFO] [1785156954.721789349] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785156954.721913176] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156954.721922438] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785156954.721928061] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785156954.721936667] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785156954.740540749] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785156954.740621586] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785156954.740639929] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785156954.740646554] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785156954.740717361] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785156954.823021820] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156954.823142204] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785156954.823820131] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785156954.823864855] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785156954.823892123] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785156954.830617887] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785156954.831733202] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785156954.876661439] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785156954.876769826] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785156954.929181493] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785156954.929279783] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785156954.938058941] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785156954.938157410] [mavros.mavros]: Plugin altitude initialized
