[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-21-46-24-556762-DESKTOP-Kilogram-677
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [712]
[mavros_node-1] [INFO] [1785156384.754897702] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785156384.755388185] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156384.755616498] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785156384.755757908] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785156384.755885867] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785156384.767500712] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785156384.767549680] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785156384.767560666] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785156384.767564499] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785156384.767598625] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785156384.807482751] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785156384.807531390] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785156384.807845383] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785156384.807864451] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785156384.807875836] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785156384.811155972] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785156384.817027112] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785156384.839583609] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785156384.839651985] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785156384.867387351] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785156384.867450839] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785156384.872878539] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785156384.872937335] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785156384.878167058] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785156384.878236809] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785156384.883107287] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785156384.883168533] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785156384.888515105] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785156384.888573074] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785156384.897460313] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785156384.897520511] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785156384.902990648] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785156384.903029979] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785156384.909729252] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785156384.909791611] [mavros.mavros]: Plugin debug_value initialized
