t,n,e
5.792,-0.000,-0.000
5.992,-0.001,-0.000
6.192,-0.001,-0.000
6.392,-0.000,-0.000
6.600,0.000,0.000
6.800,0.001,0.000
7.000,0.002,0.001
7.200,0.002,0.001
7.400,0.001,0.002
7.608,-0.000,0.003
7.812,-0.005,0.005
8.016,-0.013,0.007
8.224,-0.021,0.011
8.432,-0.026,0.012
8.640,-0.028,0.010
8.848,-0.027,0.004
9.056,-0.026,-0.002
9.256,-0.027,-0.009
9.464,-0.030,-0.014
9.672,-0.032,-0.019
9.880,-0.032,-0.026
10.088,-0.029,-0.028
10.288,-0.025,-0.025
10.496,-0.021,-0.021
10.704,-0.021,-0.019
10.912,-0.022,-0.019
11.120,-0.020,-0.020
11.320,-0.016,-0.022
11.528,-0.010,-0.023
11.736,-0.004,-0.023
11.944,-0.000,-0.023
12.152,0.002,-0.023
12.352,0.003,-0.022
12.560,0.003,-0.019
12.768,0.001,-0.015
12.976,-0.001,-0.013
13.184,-0.001,-0.013
13.384,-0.000,-0.010
13.592,0.000,-0.004
13.800,-0.000,0.002
14.008,-0.004,0.003
14.208,-0.008,0.001
14.416,-0.013,-0.005
14.624,-0.016,-0.012
14.832,-0.020,-0.016
15.040,-0.021,-0.017
15.240,-0.019,-0.017
15.448,-0.016,-0.013
15.656,-0.016,-0.008
15.864,-0.017,-0.004
16.072,-0.016,-0.002
16.280,-0.014,-0.002
16.488,-0.011,-0.003
16.696,-0.008,-0.006
16.904,-0.006,-0.009
17.112,-0.005,-0.012
17.316,-0.004,-0.016
17.524,-0.002,-0.022
17.732,-0.000,-0.027
17.940,-0.001,-0.027
18.148,-0.000,-0.025
18.356,0.002,-0.023
18.564,0.004,-0.022
18.772,0.005,-0.022
18.972,0.002,-0.019
19.180,-0.001,-0.014
19.388,-0.003,-0.009
19.596,-0.002,-0.008
19.804,-0.003,-0.008
20.004,-0.004,-0.010
20.212,-0.005,-0.014
20.420,-0.006,-0.017
20.628,-0.007,-0.019
20.836,-0.006,-0.022
21.036,-0.003,-0.024
21.244,0.003,-0.024
21.452,0.011,-0.023
21.660,0.017,-0.021
21.868,0.022,-0.016
22.068,0.025,-0.014
22.276,0.026,-0.012
22.484,0.025,-0.009
22.692,0.023,-0.005
22.900,0.023,-0.001
23.100,0.024,0.001
23.308,0.026,0.003
23.516,0.030,0.003
23.716,0.030,0.002
23.924,0.029,-0.000
24.132,0.027,-0.001
24.340,0.026,-0.001
24.548,0.026,-0.003
24.748,0.025,-0.006
24.956,0.020,-0.007
25.164,0.014,-0.010
25.372,0.009,-0.013
25.580,0.006,-0.016
25.784,0.003,-0.021
25.984,0.002,-0.025
26.192,0.002,-0.028
26.400,0.004,-0.028
26.600,0.002,-0.026
26.808,-0.010,-0.018
27.016,-0.029,-0.007
27.216,-0.053,0.006
27.424,-0.081,0.017
27.632,-0.106,0.023
27.840,-0.124,0.025
28.048,-0.127,0.023
28.248,-0.109,0.018
28.456,-0.078,0.013
28.664,-0.055,0.010
28.872,-0.047,0.008
29.080,-0.054,0.011
29.280,-0.067,0.014
29.488,-0.078,0.016
29.696,-0.079,0.013
29.904,-0.069,0.005
30.112,-0.051,-0.007
30.316,-0.033,-0.018
30.524,-0.021,-0.023
30.732,-0.017,-0.021
30.940,-0.019,-0.017
31.148,-0.022,-0.015
31.356,-0.021,-0.014
31.564,-0.015,-0.015
31.772,-0.004,-0.014
31.972,0.006,-0.015
32.180,0.016,-0.015
32.380,0.024,-0.015
32.588,0.026,-0.015
32.796,0.023,-0.020
32.996,0.019,-0.025
33.204,0.014,-0.028
33.404,0.010,-0.028
33.612,0.009,-0.025
33.820,0.009,-0.022
34.020,0.012,-0.021
34.228,0.014,-0.022
34.436,0.014,-0.024
34.636,0.014,-0.026
34.844,0.010,-0.025
35.052,0.005,-0.022
35.252,0.002,-0.019
35.460,0.001,-0.019
35.668,0.003,-0.023
35.868,0.008,-0.028
36.076,0.012,-0.031
36.276,0.014,-0.032
36.484,0.015,-0.030
36.692,0.015,-0.028
36.892,0.014,-0.029
37.100,0.011,-0.028
37.308,0.008,-0.025
37.508,0.006,-0.019
37.716,0.008,-0.015
37.924,0.013,-0.020
38.124,0.019,-0.032
38.332,0.027,-0.045
38.540,0.033,-0.051
38.740,0.032,-0.049
38.948,0.026,-0.039
39.148,0.018,-0.027
39.356,0.010,-0.019
39.564,0.006,-0.019
39.764,0.008,-0.024
39.972,0.011,-0.033
40.180,0.013,-0.042
40.380,0.011,-0.048
40.588,0.006,-0.049
40.796,0.001,-0.047
40.996,-0.004,-0.046
41.204,-0.011,-0.049
41.404,-0.019,-0.055
41.612,-0.025,-0.059
41.820,-0.026,-0.058
42.020,-0.022,-0.049
42.228,-0.015,-0.037
42.436,-0.007,-0.032
42.636,-0.000,-0.035
42.844,0.001,-0.045
43.052,-0.003,-0.055
43.252,-0.009,-0.059
43.460,-0.014,-0.058
43.668,-0.015,-0.054
43.868,-0.013,-0.052
44.076,-0.012,-0.054
44.276,-0.011,-0.062
44.484,-0.013,-0.068
44.692,-0.016,-0.067
44.892,-0.017,-0.058
45.100,-0.018,-0.048
45.308,-0.016,-0.040
45.508,-0.014,-0.040
45.716,-0.012,-0.046
45.924,-0.011,-0.054
46.124,-0.012,-0.060
46.328,-0.013,-0.061
46.536,-0.015,-0.058
46.744,-0.015,-0.052
46.944,-0.012,-0.046
47.152,-0.006,-0.043
47.360,0.002,-0.043
47.560,0.009,-0.045
47.768,0.013,-0.047
47.968,0.012,-0.048
48.176,0.007,-0.050
48.384,0.001,-0.052
48.584,-0.007,-0.052
48.792,-0.013,-0.051
49.000,-0.017,-0.049
49.200,-0.020,-0.048
49.408,-0.019,-0.048
49.616,-0.015,-0.049
49.816,-0.010,-0.048
50.024,-0.004,-0.047
50.232,0.000,-0.047
50.432,0.005,-0.043
50.640,0.010,-0.035
50.840,0.013,-0.028
51.048,0.010,-0.024
51.256,0.003,-0.025
51.456,-0.002,-0.027
51.664,-0.003,-0.026
51.872,0.002,-0.022
52.072,0.008,-0.015
52.280,0.014,-0.004
52.488,0.019,0.008
52.688,0.022,0.016
52.896,0.025,0.019
53.104,0.029,0.016
53.304,0.033,0.011
53.512,0.035,0.006
53.712,0.034,0.003
53.920,0.029,0.003
54.128,0.025,0.005
54.328,0.023,0.006
54.536,0.021,0.007
54.744,0.018,0.009
54.944,0.013,0.010
55.152,0.002,0.009
55.360,-0.010,0.004
55.560,-0.022,-0.004
55.768,-0.033,-0.014
55.968,-0.041,-0.024
56.176,-0.045,-0.033
56.384,-0.052,-0.043
56.584,-0.063,-0.051
56.792,-0.074,-0.058
57.000,-0.087,-0.063
57.200,-0.103,-0.069
57.408,-0.119,-0.076
57.616,-0.133,-0.084
57.820,-0.144,-0.089
58.020,-0.157,-0.094
58.228,-0.173,-0.100
58.436,-0.188,-0.108
58.636,-0.197,-0.116
58.844,-0.199,-0.126
59.052,-0.200,-0.137
59.252,-0.203,-0.146
59.460,-0.210,-0.148
59.668,-0.217,-0.147
59.868,-0.224,-0.143
60.076,-0.233,-0.141
60.276,-0.245,-0.143
60.484,-0.257,-0.148
60.692,-0.269,-0.152
60.892,-0.274,-0.157
61.100,-0.276,-0.159
61.308,-0.276,-0.159
61.508,-0.272,-0.158
61.716,-0.269,-0.159
61.924,-0.268,-0.163
62.124,-0.270,-0.165
62.332,-0.276,-0.167
62.540,-0.286,-0.169
62.740,-0.293,-0.169
62.948,-0.297,-0.169
63.148,-0.298,-0.169
63.356,-0.298,-0.169
63.564,-0.299,-0.167
63.764,-0.301,-0.165
63.972,-0.303,-0.164
64.180,-0.303,-0.166
64.384,-0.300,-0.171
64.584,-0.296,-0.177
64.784,-0.291,-0.182
64.992,-0.285,-0.185
65.200,-0.280,-0.186
65.400,-0.276,-0.188
65.608,-0.274,-0.191
65.808,-0.275,-0.193
66.016,-0.277,-0.197
66.224,-0.279,-0.200
66.424,-0.278,-0.204
66.632,-0.275,-0.209
66.840,-0.272,-0.210
67.040,-0.272,-0.209
67.248,-0.275,-0.209
67.456,-0.276,-0.206
67.656,-0.271,-0.201
67.864,-0.240,-0.192
68.072,-0.158,-0.181
68.272,0.005,-0.171
68.480,0.305,-0.164
68.680,0.763,-0.165
68.884,1.437,-0.180
69.084,2.384,-0.207
69.284,3.667,-0.244
69.492,5.435,-0.296
69.700,7.722,-0.364
69.900,10.504,-0.447
70.108,13.984,-0.544
70.308,17.714,-0.639
70.516,21.768,-0.727
70.724,25.751,-0.801
70.924,29.381,-0.869
71.132,32.952,-0.943
71.340,36.382,-1.018
71.540,39.602,-1.089
71.748,42.909,-1.159
71.956,46.189,-1.219
72.156,49.321,-1.270
72.364,52.559,-1.318
72.572,55.776,-1.362
72.772,58.850,-1.401
72.980,62.026,-1.439
73.180,65.065,-1.473
73.388,68.219,-1.506
73.596,71.369,-1.536
73.796,74.399,-1.561
74.004,77.552,-1.583
74.212,80.712,-1.602
74.412,83.754,-1.616
74.620,86.923,-1.626
74.828,90.100,-1.627
75.028,93.160,-1.622
75.236,96.340,-1.614
75.436,99.393,-1.602
75.644,102.563,-1.585
75.852,105.727,-1.564
76.052,108.762,-1.539
76.260,111.908,-1.508
76.468,115.039,-1.472
76.668,118.040,-1.432
76.876,121.153,-1.386
77.084,124.255,-1.335
77.284,127.231,-1.283
77.492,130.318,-1.226
77.700,133.395,-1.165
77.900,136.347,-1.105
78.108,139.410,-1.040
78.308,142.348,-0.975
78.516,145.394,-0.902
78.724,148.434,-0.827
78.924,151.350,-0.749
79.132,154.373,-0.665
79.340,157.389,-0.581
79.540,160.280,-0.497
79.748,163.279,-0.407
79.956,166.270,-0.311
80.156,169.139,-0.215
80.360,172.174,-0.108
80.560,175.032,-0.003
80.760,177.885,0.103
80.968,180.848,0.216
81.168,183.694,0.332
81.376,186.648,0.458
81.584,189.597,0.587
81.784,192.426,0.716
81.992,195.362,0.855
82.200,198.293,0.998
82.400,201.106,1.138
82.608,204.025,1.286
82.808,206.826,1.433
83.016,209.734,1.588
83.224,212.638,1.747
83.428,215.425,1.905
83.628,218.206,2.066
83.828,220.987,2.228
84.028,223.766,2.393
84.236,226.656,2.568
84.436,229.437,2.740
84.644,232.328,2.924
84.852,235.217,3.111
85.052,237.991,3.295
85.260,240.871,3.493
85.468,243.745,3.695
85.668,246.505,3.892
85.876,249.372,4.103
86.084,252.239,4.318
86.284,254.996,4.532
86.492,257.862,4.759
86.700,260.727,4.987
86.900,263.480,5.207
87.108,266.123,5.421
87.308,268.882,5.647
87.516,271.752,5.887
87.724,274.622,6.131
87.924,277.379,6.369
88.132,280.242,6.623
88.340,283.100,6.880
88.540,285.844,7.129
88.748,288.695,7.391
88.956,291.545,7.657
89.156,294.283,7.918
89.364,297.130,8.192
89.572,299.973,8.469
89.772,302.705,8.741
89.980,305.543,9.028
90.180,308.382,9.318
90.388,311.225,9.611
90.596,314.073,9.907
90.796,316.813,10.196
91.004,319.661,10.500
91.212,322.507,10.811
91.412,325.242,11.114
91.620,328.087,11.433
91.828,330.931,11.754
92.028,333.667,12.065
92.236,336.515,12.389
92.436,339.253,12.704
92.644,342.098,13.034
92.852,344.943,13.366
93.052,347.677,13.685
93.260,350.518,14.019
93.468,353.360,14.357
93.668,356.093,14.685
93.876,358.938,15.030
94.084,361.786,15.378
94.284,364.524,15.716
94.492,367.374,16.072
94.700,370.221,16.433
94.900,372.956,16.784
95.108,375.799,17.152
95.308,378.533,17.507
95.516,381.375,17.877
95.724,384.217,18.251
95.924,386.952,18.613
96.132,389.796,18.994
96.340,392.638,19.378
96.540,395.371,19.751
96.748,398.218,20.141
96.956,401.068,20.533
97.156,403.812,20.915
97.364,406.666,21.314
97.572,409.522,21.715
97.772,412.269,22.104
97.980,415.127,22.514
98.180,417.872,22.909
98.388,420.726,23.319
98.596,423.580,23.729
98.796,426.324,24.125
99.004,429.179,24.539
99.212,432.035,24.953
99.412,434.783,25.358
99.620,437.644,25.784
99.828,440.505,26.214
100.028,443.255,26.629
