t,n,e,seg_old,seg_new,seg_diff,tgt_old_n,tgt_old_e,tgt_new_n,tgt_new_e,tgt_dist_m
5.792,-0.0,-0.0,0,0,0,70.0,0.0,70.0,0.0,0.0
5.992,-0.001,-0.0,0,0,0,70.0,0.0,70.0,0.0,0.0
6.192,-0.001,-0.0,0,0,0,70.0,0.0,70.0,0.0,0.0
6.392,-0.0,-0.0,0,0,0,70.0,0.0,70.0,0.0,0.0
6.6,0.0,0.0,0,0,0,70.0,0.0,70.0,0.0,0.0
6.8,0.001,0.0,0,0,0,70.001,0.0,70.001,0.0,0.0
7.0,0.002,0.001,0,0,0,70.002,0.0,70.002,0.0,0.0
7.2,0.002,0.001,0,0,0,70.002,0.0,70.002,0.0,0.0
7.4,0.001,0.002,0,0,0,70.001,0.0,70.001,0.0,0.0
7.608,-0.0,0.003,0,0,0,70.0,0.0,70.0,0.0,0.0
7.812,-0.005,0.005,0,0,0,70.0,0.0,70.0,0.0,0.0
8.016,-0.013,0.007,0,0,0,70.0,0.0,70.0,0.0,0.0
8.224,-0.021,0.011,0,0,0,70.0,0.0,70.0,0.0,0.0
8.432,-0.026,0.012,0,0,0,70.0,0.0,70.0,0.0,0.0
8.64,-0.028,0.01,0,0,0,70.0,0.0,70.0,0.0,0.0
8.848,-0.027,0.004,0,0,0,70.0,0.0,70.0,0.0,0.0
9.056,-0.026,-0.002,0,0,0,70.0,0.0,70.0,0.0,0.0
9.256,-0.027,-0.009,0,0,0,70.0,0.0,70.0,0.0,0.0
9.464,-0.03,-0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
9.672,-0.032,-0.019,0,0,0,70.0,0.0,70.0,0.0,0.0
9.88,-0.032,-0.026,0,0,0,70.0,0.0,70.0,0.0,0.0
10.088,-0.029,-0.028,0,0,0,70.0,0.0,70.0,0.0,0.0
10.288,-0.025,-0.025,0,0,0,70.0,0.0,70.0,0.0,0.0
10.496,-0.021,-0.021,0,0,0,70.0,0.0,70.0,0.0,0.0
10.704,-0.021,-0.019,0,0,0,70.0,0.0,70.0,0.0,0.0
10.912,-0.022,-0.019,0,0,0,70.0,0.0,70.0,0.0,0.0
11.12,-0.02,-0.02,0,0,0,70.0,0.0,70.0,0.0,0.0
11.32,-0.016,-0.022,0,0,0,70.0,0.0,70.0,0.0,0.0
11.528,-0.01,-0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
11.736,-0.004,-0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
11.944,-0.0,-0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
12.152,0.002,-0.023,0,0,0,70.002,0.0,70.002,0.0,0.0
12.352,0.003,-0.022,0,0,0,70.003,0.0,70.003,0.0,0.0
12.56,0.003,-0.019,0,0,0,70.003,0.0,70.003,0.0,0.0
12.768,0.001,-0.015,0,0,0,70.001,0.0,70.001,0.0,0.0
12.976,-0.001,-0.013,0,0,0,70.0,0.0,70.0,0.0,0.0
13.184,-0.001,-0.013,0,0,0,70.0,0.0,70.0,0.0,0.0
13.384,-0.0,-0.01,0,0,0,70.0,0.0,70.0,0.0,0.0
13.592,0.0,-0.004,0,0,0,70.0,0.0,70.0,0.0,0.0
13.8,-0.0,0.002,0,0,0,70.0,0.0,70.0,0.0,0.0
14.008,-0.004,0.003,0,0,0,70.0,0.0,70.0,0.0,0.0
14.208,-0.008,0.001,0,0,0,70.0,0.0,70.0,0.0,0.0
14.416,-0.013,-0.005,0,0,0,70.0,0.0,70.0,0.0,0.0
14.624,-0.016,-0.012,0,0,0,70.0,0.0,70.0,0.0,0.0
14.832,-0.02,-0.016,0,0,0,70.0,0.0,70.0,0.0,0.0
15.04,-0.021,-0.017,0,0,0,70.0,0.0,70.0,0.0,0.0
15.24,-0.019,-0.017,0,0,0,70.0,0.0,70.0,0.0,0.0
15.448,-0.016,-0.013,0,0,0,70.0,0.0,70.0,0.0,0.0
15.656,-0.016,-0.008,0,0,0,70.0,0.0,70.0,0.0,0.0
15.864,-0.017,-0.004,0,0,0,70.0,0.0,70.0,0.0,0.0
16.072,-0.016,-0.002,0,0,0,70.0,0.0,70.0,0.0,0.0
16.28,-0.014,-0.002,0,0,0,70.0,0.0,70.0,0.0,0.0
16.488,-0.011,-0.003,0,0,0,70.0,0.0,70.0,0.0,0.0
16.696,-0.008,-0.006,0,0,0,70.0,0.0,70.0,0.0,0.0
16.904,-0.006,-0.009,0,0,0,70.0,0.0,70.0,0.0,0.0
17.112,-0.005,-0.012,0,0,0,70.0,0.0,70.0,0.0,0.0
17.316,-0.004,-0.016,0,0,0,70.0,0.0,70.0,0.0,0.0
17.524,-0.002,-0.022,0,0,0,70.0,0.0,70.0,0.0,0.0
17.732,-0.0,-0.027,0,0,0,70.0,0.0,70.0,0.0,0.0
17.94,-0.001,-0.027,0,0,0,70.0,0.0,70.0,0.0,0.0
18.148,-0.0,-0.025,0,0,0,70.0,0.0,70.0,0.0,0.0
18.356,0.002,-0.023,0,0,0,70.002,0.0,70.002,0.0,0.0
18.564,0.004,-0.022,0,0,0,70.004,0.0,70.004,0.0,0.0
18.772,0.005,-0.022,0,0,0,70.005,0.0,70.005,0.0,0.0
18.972,0.002,-0.019,0,0,0,70.002,0.0,70.002,0.0,0.0
19.18,-0.001,-0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
19.388,-0.003,-0.009,0,0,0,70.0,0.0,70.0,0.0,0.0
19.596,-0.002,-0.008,0,0,0,70.0,0.0,70.0,0.0,0.0
19.804,-0.003,-0.008,0,0,0,70.0,0.0,70.0,0.0,0.0
20.004,-0.004,-0.01,0,0,0,70.0,0.0,70.0,0.0,0.0
20.212,-0.005,-0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
20.42,-0.006,-0.017,0,0,0,70.0,0.0,70.0,0.0,0.0
20.628,-0.007,-0.019,0,0,0,70.0,0.0,70.0,0.0,0.0
20.836,-0.006,-0.022,0,0,0,70.0,0.0,70.0,0.0,0.0
21.036,-0.003,-0.024,0,0,0,70.0,0.0,70.0,0.0,0.0
21.244,0.003,-0.024,0,0,0,70.003,0.0,70.003,0.0,0.0
21.452,0.011,-0.023,0,0,0,70.011,0.0,70.011,0.0,0.0
21.66,0.017,-0.021,0,0,0,70.017,0.0,70.017,0.0,0.0
21.868,0.022,-0.016,0,0,0,70.022,0.0,70.022,0.0,0.0
22.068,0.025,-0.014,0,0,0,70.025,0.0,70.025,0.0,0.0
22.276,0.026,-0.012,0,0,0,70.026,0.0,70.026,0.0,0.0
22.484,0.025,-0.009,0,0,0,70.025,0.0,70.025,0.0,0.0
22.692,0.023,-0.005,0,0,0,70.023,0.0,70.023,0.0,0.0
22.9,0.023,-0.001,0,0,0,70.023,0.0,70.023,0.0,0.0
23.1,0.024,0.001,0,0,0,70.024,0.0,70.024,0.0,0.0
23.308,0.026,0.003,0,0,0,70.026,0.0,70.026,0.0,0.0
23.516,0.03,0.003,0,0,0,70.03,0.0,70.03,0.0,0.0
23.716,0.03,0.002,0,0,0,70.03,0.0,70.03,0.0,0.0
23.924,0.029,-0.0,0,0,0,70.029,0.0,70.029,0.0,0.0
24.132,0.027,-0.001,0,0,0,70.027,0.0,70.027,0.0,0.0
24.34,0.026,-0.001,0,0,0,70.026,0.0,70.026,0.0,0.0
24.548,0.026,-0.003,0,0,0,70.026,0.0,70.026,0.0,0.0
24.748,0.025,-0.006,0,0,0,70.025,0.0,70.025,0.0,0.0
24.956,0.02,-0.007,0,0,0,70.02,0.0,70.02,0.0,0.0
25.164,0.014,-0.01,0,0,0,70.014,0.0,70.014,0.0,0.0
25.372,0.009,-0.013,0,0,0,70.009,0.0,70.009,0.0,0.0
25.58,0.006,-0.016,0,0,0,70.006,0.0,70.006,0.0,0.0
25.784,0.003,-0.021,0,0,0,70.003,0.0,70.003,0.0,0.0
25.984,0.002,-0.025,0,0,0,70.002,0.0,70.002,0.0,0.0
26.192,0.002,-0.028,0,0,0,70.002,0.0,70.002,0.0,0.0
26.4,0.004,-0.028,0,0,0,70.004,0.0,70.004,0.0,0.0
26.6,0.002,-0.026,0,0,0,70.002,0.0,70.002,0.0,0.0
26.808,-0.01,-0.018,0,0,0,70.0,0.0,70.0,0.0,0.0
27.016,-0.029,-0.007,0,0,0,70.0,0.0,70.0,0.0,0.0
27.216,-0.053,0.006,0,0,0,70.0,0.0,70.0,0.0,0.0
27.424,-0.081,0.017,0,0,0,70.0,0.0,70.0,0.0,0.0
27.632,-0.106,0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
27.84,-0.124,0.025,0,0,0,70.0,0.0,70.0,0.0,0.0
28.048,-0.127,0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
28.248,-0.109,0.018,0,0,0,70.0,0.0,70.0,0.0,0.0
28.456,-0.078,0.013,0,0,0,70.0,0.0,70.0,0.0,0.0
28.664,-0.055,0.01,0,0,0,70.0,0.0,70.0,0.0,0.0
28.872,-0.047,0.008,0,0,0,70.0,0.0,70.0,0.0,0.0
29.08,-0.054,0.011,0,0,0,70.0,0.0,70.0,0.0,0.0
29.28,-0.067,0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
29.488,-0.078,0.016,0,0,0,70.0,0.0,70.0,0.0,0.0
29.696,-0.079,0.013,0,0,0,70.0,0.0,70.0,0.0,0.0
29.904,-0.069,0.005,0,0,0,70.0,0.0,70.0,0.0,0.0
30.112,-0.051,-0.007,0,0,0,70.0,0.0,70.0,0.0,0.0
30.316,-0.033,-0.018,0,0,0,70.0,0.0,70.0,0.0,0.0
30.524,-0.021,-0.023,0,0,0,70.0,0.0,70.0,0.0,0.0
30.732,-0.017,-0.021,0,0,0,70.0,0.0,70.0,0.0,0.0
30.94,-0.019,-0.017,0,0,0,70.0,0.0,70.0,0.0,0.0
31.148,-0.022,-0.015,0,0,0,70.0,0.0,70.0,0.0,0.0
31.356,-0.021,-0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
31.564,-0.015,-0.015,0,0,0,70.0,0.0,70.0,0.0,0.0
31.772,-0.004,-0.014,0,0,0,70.0,0.0,70.0,0.0,0.0
31.972,0.006,-0.015,0,0,0,70.006,0.0,70.006,0.0,0.0
32.18,0.016,-0.015,0,0,0,70.016,0.0,70.016,0.0,0.0
32.38,0.024,-0.015,0,0,0,70.024,0.0,70.024,0.0,0.0
32.588,0.026,-0.015,0,0,0,70.026,0.0,70.026,0.0,0.0
32.796,0.023,-0.02,0,0,0,70.023,0.0,70.023,0.0,0.0
32.996,0.019,-0.025,0,0,0,70.019,0.0,70.019,0.0,0.0
33.204,0.014,-0.028,0,0,0,70.014,0.0,70.014,0.0,0.0
33.404,0.01,-0.028,0,0,0,70.01,0.0,70.01,0.0,0.0
33.612,0.009,-0.025,0,0,0,70.009,0.0,70.009,0.0,0.0
33.82,0.009,-0.022,0,0,0,70.009,0.0,70.009,0.0,0.0
34.02,0.012,-0.021,0,0,0,70.012,0.0,70.012,0.0,0.0
34.228,0.014,-0.022,0,0,0,70.014,0.0,70.014,0.0,0.0
34.436,0.014,-0.024,0,0,0,70.014,0.0,70.014,0.0,0.0
34.636,0.014,-0.026,0,0,0,70.014,0.0,70.014,0.0,0.0
34.844,0.01,-0.025,0,0,0,70.01,0.0,70.01,0.0,0.0
35.052,0.005,-0.022,0,0,0,70.005,0.0,70.005,0.0,0.0
35.252,0.002,-0.019,0,0,0,70.002,0.0,70.002,0.0,0.0
35.46,0.001,-0.019,0,0,0,70.001,0.0,70.001,0.0,0.0
35.668,0.003,-0.023,0,0,0,70.003,0.0,70.003,0.0,0.0
35.868,0.008,-0.028,0,0,0,70.008,0.0,70.008,0.0,0.0
36.076,0.012,-0.031,0,0,0,70.012,0.0,70.012,0.0,0.0
36.276,0.014,-0.032,0,0,0,70.014,0.0,70.014,0.0,0.0
36.484,0.015,-0.03,0,0,0,70.015,0.0,70.015,0.0,0.0
36.692,0.015,-0.028,0,0,0,70.015,0.0,70.015,0.0,0.0
36.892,0.014,-0.029,0,0,0,70.014,0.0,70.014,0.0,0.0
37.1,0.011,-0.028,0,0,0,70.011,0.0,70.011,0.0,0.0
37.308,0.008,-0.025,0,0,0,70.008,0.0,70.008,0.0,0.0
37.508,0.006,-0.019,0,0,0,70.006,0.0,70.006,0.0,0.0
37.716,0.008,-0.015,0,0,0,70.008,0.0,70.008,0.0,0.0
37.924,0.013,-0.02,0,0,0,70.013,0.0,70.013,0.0,0.0
38.124,0.019,-0.032,0,0,0,70.019,0.0,70.019,0.0,0.0
38.332,0.027,-0.045,0,0,0,70.027,0.0,70.027,0.0,0.0
38.54,0.033,-0.051,0,0,0,70.033,0.0,70.033,0.0,0.0
38.74,0.032,-0.049,0,0,0,70.032,0.0,70.032,0.0,0.0
38.948,0.026,-0.039,0,0,0,70.026,0.0,70.026,0.0,0.0
39.148,0.018,-0.027,0,0,0,70.018,0.0,70.018,0.0,0.0
39.356,0.01,-0.019,0,0,0,70.01,0.0,70.01,0.0,0.0
39.564,0.006,-0.019,0,0,0,70.006,0.0,70.006,0.0,0.0
39.764,0.008,-0.024,0,0,0,70.008,0.0,70.008,0.0,0.0
39.972,0.011,-0.033,0,0,0,70.011,0.0,70.011,0.0,0.0
40.18,0.013,-0.042,0,0,0,70.013,0.0,70.013,0.0,0.0
40.38,0.011,-0.048,0,0,0,70.011,0.0,70.011,0.0,0.0
40.588,0.006,-0.049,0,0,0,70.006,0.0,70.006,0.0,0.0
40.796,0.001,-0.047,0,0,0,70.001,0.0,70.001,0.0,0.0
40.996,-0.004,-0.046,0,0,0,70.0,0.0,70.0,0.0,0.0
41.204,-0.011,-0.049,0,0,0,70.0,0.0,70.0,0.0,0.0
41.404,-0.019,-0.055,0,0,0,70.0,0.0,70.0,0.0,0.0
41.612,-0.025,-0.059,0,0,0,70.0,0.0,70.0,0.0,0.0
41.82,-0.026,-0.058,0,0,0,70.0,0.0,70.0,0.0,0.0
42.02,-0.022,-0.049,0,0,0,70.0,0.0,70.0,0.0,0.0
42.228,-0.015,-0.037,0,0,0,70.0,0.0,70.0,0.0,0.0
42.436,-0.007,-0.032,0,0,0,70.0,0.0,70.0,0.0,0.0
42.636,-0.0,-0.035,0,0,0,70.0,0.0,70.0,0.0,0.0
42.844,0.001,-0.045,0,0,0,70.001,0.0,70.001,0.0,0.0
43.052,-0.003,-0.055,0,0,0,70.0,0.0,70.0,0.0,0.0
43.252,-0.009,-0.059,0,0,0,70.0,0.0,70.0,0.0,0.0
43.46,-0.014,-0.058,0,0,0,70.0,0.0,70.0,0.0,0.0
43.668,-0.015,-0.054,0,0,0,70.0,0.0,70.0,0.0,0.0
43.868,-0.013,-0.052,0,0,0,70.0,0.0,70.0,0.0,0.0
44.076,-0.012,-0.054,0,0,0,70.0,0.0,70.0,0.0,0.0
44.276,-0.011,-0.062,0,0,0,70.0,0.0,70.0,0.0,0.0
44.484,-0.013,-0.068,0,0,0,70.0,0.0,70.0,0.0,0.0
44.692,-0.016,-0.067,0,0,0,70.0,0.0,70.0,0.0,0.0
44.892,-0.017,-0.058,0,0,0,70.0,0.0,70.0,0.0,0.0
45.1,-0.018,-0.048,0,0,0,70.0,0.0,70.0,0.0,0.0
45.308,-0.016,-0.04,0,0,0,70.0,0.0,70.0,0.0,0.0
45.508,-0.014,-0.04,0,0,0,70.0,0.0,70.0,0.0,0.0
45.716,-0.012,-0.046,0,0,0,70.0,0.0,70.0,0.0,0.0
45.924,-0.011,-0.054,0,0,0,70.0,0.0,70.0,0.0,0.0
