[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-23-01-30-143867-DESKTOP-Kilogram-741
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [786]
[mavros_node-1] [INFO] [1785160890.405603417] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785160890.405714646] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785160890.405724723] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785160890.405729848] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785160890.405734127] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785160890.416284841] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785160890.416335354] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785160890.416346651] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785160890.416350565] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785160890.416396797] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785160890.455349420] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785160890.455396543] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785160890.456116586] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785160890.456155397] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785160890.456167817] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785160890.459007082] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785160890.464777606] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785160890.485918129] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785160890.485980842] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785160890.510059180] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785160890.510123853] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785160890.515587751] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785160890.515644513] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785160890.521002739] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785160890.521060380] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785160890.526622848] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785160890.526689154] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785160890.532516876] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785160890.532568260] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785160890.542720388] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785160890.542784938] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785160890.548828388] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785160890.548889860] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785160890.556341855] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785160890.556408536] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785160890.556420250] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785160890.563789622] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785160890.563854357] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785160890.570456351] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785160890.570507482] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785160890.578950024] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785160890.579006123] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785160890.591584328] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785160890.591656496] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785160890.601122821] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785160890.601200025] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785160890.616086264] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785160890.616172989] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785160890.633161412] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785160890.633245611] [mavros.mavros]: Plugin global_position initialized
