t,n,e
5.888,0.000,-0.000
6.088,0.001,-0.001
6.288,0.001,-0.001
6.488,0.000,-0.001
6.696,-0.000,-0.001
6.896,-0.000,-0.000
7.096,-0.000,-0.000
7.296,0.056,-0.005
7.496,0.055,-0.010
7.704,0.060,-0.010
7.904,0.064,-0.012
8.112,0.058,-0.016
8.320,0.047,-0.015
8.528,0.036,-0.012
8.736,0.028,-0.012
8.944,0.025,-0.014
9.152,0.023,-0.016
9.352,0.023,-0.017
9.560,0.020,-0.015
9.768,0.013,-0.010
9.976,0.004,-0.003
10.184,-0.006,0.003
10.384,-0.013,0.007
10.592,-0.017,0.007
10.800,-0.019,0.006
11.008,-0.020,0.007
11.208,-0.019,0.010
11.416,-0.018,0.013
11.620,-0.014,0.017
11.820,-0.008,0.022
12.028,-0.006,0.025
12.236,-0.006,0.024
12.444,-0.006,0.023
12.652,-0.007,0.024
12.852,-0.006,0.026
13.060,-0.002,0.029
13.268,0.002,0.028
13.472,0.005,0.025
13.676,0.012,0.020
13.884,0.018,0.015
14.092,0.021,0.012
14.300,0.022,0.009
14.508,0.024,0.006
14.708,0.026,0.006
14.916,0.026,0.007
15.124,0.027,0.006
15.332,0.027,0.003
15.540,0.027,-0.001
15.740,0.026,-0.002
15.948,0.022,-0.003
16.156,0.020,-0.003
16.356,0.019,-0.002
16.564,0.017,-0.003
16.772,0.014,-0.003
16.972,0.014,-0.001
17.180,0.016,0.001
17.388,0.019,0.003
17.596,0.019,0.005
17.804,0.018,0.004
18.004,0.014,0.002
18.212,0.009,0.002
18.420,0.004,0.003
18.628,0.005,0.004
18.836,0.006,0.004
19.040,0.008,0.004
19.248,0.007,0.004
19.456,0.005,0.002
19.664,0.005,-0.001
19.872,0.005,-0.002
20.080,0.007,-0.002
20.280,0.006,-0.004
20.488,0.007,-0.007
20.696,0.009,-0.009
20.904,0.010,-0.009
21.112,0.009,-0.008
21.312,0.008,-0.008
21.520,0.007,-0.007
21.728,0.007,-0.003
21.936,0.006,0.002
22.144,0.003,0.009
22.344,0.002,0.013
22.552,0.003,0.013
22.760,0.005,0.011
22.968,0.009,0.007
23.180,0.014,0.005
23.384,0.019,0.000
23.592,0.022,-0.005
23.792,0.023,-0.007
24.000,0.024,-0.010
24.208,0.024,-0.013
24.408,0.024,-0.014
24.616,0.022,-0.014
24.824,0.020,-0.013
25.032,0.020,-0.013
25.240,0.019,-0.013
25.440,0.017,-0.013
25.648,0.016,-0.010
25.856,0.016,-0.007
26.064,0.016,-0.006
26.272,0.017,-0.005
26.472,0.018,-0.004
26.680,0.017,-0.003
26.888,0.016,0.000
27.096,0.012,0.002
27.304,0.007,0.004
27.504,-0.000,0.006
27.712,-0.006,0.007
27.920,-0.007,0.006
28.128,-0.006,0.004
28.336,-0.004,0.003
28.536,-0.002,0.000
28.744,0.001,-0.003
28.952,0.004,-0.005
29.160,0.005,-0.009
29.368,0.004,-0.015
29.568,0.004,-0.019
29.776,0.002,-0.022
29.984,-0.001,-0.023
30.192,-0.003,-0.023
30.400,-0.005,-0.025
30.600,-0.006,-0.029
30.808,-0.007,-0.030
31.016,-0.005,-0.028
31.216,-0.002,-0.024
31.424,-0.002,-0.018
31.632,-0.006,-0.013
31.840,-0.022,-0.009
32.048,-0.050,-0.003
32.256,-0.090,0.003
32.456,-0.130,0.008
32.664,-0.163,0.014
32.872,-0.174,0.018
33.072,-0.149,0.018
33.280,-0.102,0.009
33.488,-0.071,-0.003
33.688,-0.072,-0.013
33.896,-0.098,-0.015
34.104,-0.128,-0.013
34.304,-0.144,-0.010
34.512,-0.136,-0.013
34.712,-0.109,-0.022
34.920,-0.070,-0.034
35.128,-0.034,-0.042
35.328,-0.016,-0.043
35.532,-0.017,-0.036
35.732,-0.032,-0.026
35.932,-0.051,-0.017
36.140,-0.065,-0.012
36.340,-0.066,-0.014
36.548,-0.052,-0.020
36.756,-0.029,-0.028
36.956,-0.004,-0.033
37.164,0.013,-0.032
37.368,0.017,-0.025
37.576,0.010,-0.018
37.776,-0.003,-0.013
37.984,-0.018,-0.010
38.192,-0.025,-0.009
38.392,-0.023,-0.010
38.600,-0.017,-0.009
38.808,-0.009,-0.005
39.008,-0.002,-0.002
39.216,-0.003,-0.000
39.424,-0.009,-0.005
39.628,-0.015,-0.015
39.832,-0.016,-0.022
40.040,-0.011,-0.021
40.240,-0.003,-0.014
40.448,0.006,-0.006
40.648,0.014,-0.002
40.856,0.019,-0.002
41.064,0.020,-0.002
41.264,0.018,-0.001
41.472,0.015,0.000
41.680,0.011,0.003
41.880,0.009,0.005
42.088,0.007,0.002
42.296,0.006,-0.007
42.496,0.007,-0.017
42.704,0.006,-0.023
42.904,0.001,-0.023
43.112,-0.005,-0.017
43.320,-0.009,-0.006
43.520,-0.006,0.002
43.728,-0.001,0.005
43.936,0.006,-0.000
44.136,0.009,-0.007
44.344,0.004,-0.012
44.552,-0.003,-0.014
44.752,-0.011,-0.013
44.960,-0.015,-0.013
45.168,-0.013,-0.015
45.368,-0.009,-0.020
45.576,-0.003,-0.025
45.776,0.002,-0.024
45.984,0.008,-0.020
46.192,0.012,-0.016
46.392,0.014,-0.013
46.600,0.011,-0.012
46.808,0.007,-0.012
47.008,0.002,-0.014
47.216,-0.004,-0.013
47.424,-0.011,-0.008
47.624,-0.015,0.002
47.832,-0.015,0.012
48.040,-0.014,0.015
48.240,-0.011,0.011
48.448,-0.007,0.002
48.648,-0.004,-0.005
48.856,-0.002,-0.006
49.064,0.002,-0.001
49.264,0.008,0.005
49.472,0.014,0.006
49.680,0.018,-0.001
49.880,0.018,-0.010
50.088,0.012,-0.018
50.296,0.003,-0.015
50.496,-0.004,-0.004
50.704,-0.009,0.008
50.904,-0.009,0.014
51.112,-0.008,0.011
51.316,-0.003,0.003
51.520,0.006,-0.003
51.728,0.011,-0.007
51.936,0.010,-0.008
52.136,0.006,-0.007
52.344,0.000,-0.006
52.552,-0.004,-0.006
52.752,-0.005,-0.008
52.960,-0.001,-0.013
53.168,0.007,-0.021
53.368,0.016,-0.026
53.576,0.022,-0.027
53.776,0.023,-0.026
53.984,0.018,-0.019
54.192,0.007,-0.008
54.392,-0.004,0.001
54.600,-0.013,0.006
54.808,-0.018,0.007
55.008,-0.017,0.005
55.216,-0.012,0.002
55.424,-0.006,0.002
55.624,-0.004,0.010
55.832,-0.006,0.024
56.040,-0.009,0.037
56.240,-0.014,0.049
56.448,-0.017,0.055
56.648,-0.017,0.054
56.856,-0.013,0.053
57.064,-0.005,0.051
57.264,0.004,0.050
57.472,0.013,0.048
57.680,0.017,0.045
57.880,0.019,0.043
58.088,0.020,0.043
58.296,0.019,0.042
58.496,0.018,0.043
58.704,0.020,0.048
58.904,0.026,0.058
59.112,0.034,0.071
59.320,0.042,0.084
59.520,0.048,0.094
59.728,0.051,0.104
59.936,0.051,0.115
60.136,0.048,0.127
60.344,0.040,0.138
60.552,0.029,0.147
60.752,0.019,0.150
60.960,0.012,0.147
61.168,0.009,0.138
61.368,0.006,0.123
61.576,0.002,0.105
61.776,-0.007,0.089
61.984,-0.021,0.072
62.192,-0.039,0.054
62.392,-0.056,0.036
62.600,-0.067,0.015
62.808,-0.073,-0.007
63.008,-0.072,-0.026
63.212,-0.067,-0.041
63.420,-0.066,-0.051
63.628,-0.067,-0.059
63.828,-0.072,-0.069
64.028,-0.084,-0.080
64.236,-0.100,-0.091
64.436,-0.115,-0.101
64.644,-0.130,-0.114
64.852,-0.143,-0.130
65.052,-0.155,-0.148
65.260,-0.169,-0.167
65.468,-0.181,-0.187
65.668,-0.189,-0.205
65.876,-0.195,-0.222
66.084,-0.198,-0.238
66.288,-0.198,-0.252
66.492,-0.200,-0.266
66.700,-0.205,-0.280
66.900,-0.210,-0.291
67.108,-0.214,-0.302
67.308,-0.218,-0.311
67.516,-0.224,-0.317
67.724,-0.231,-0.320
67.924,-0.235,-0.322
68.132,-0.235,-0.323
68.340,-0.235,-0.327
68.540,-0.236,-0.333
68.748,-0.240,-0.340
68.956,-0.246,-0.345
69.156,-0.254,-0.349
69.364,-0.260,-0.350
69.572,-0.265,-0.351
69.772,-0.272,-0.351
69.980,-0.275,-0.349
70.180,-0.275,-0.349
70.388,-0.276,-0.347
70.596,-0.277,-0.346
70.796,-0.280,-0.347
71.004,-0.285,-0.350
71.212,-0.288,-0.353
71.412,-0.287,-0.355
71.620,-0.282,-0.355
71.828,-0.275,-0.352
72.028,-0.268,-0.347
72.236,-0.256,-0.342
72.436,-0.228,-0.334
72.644,-0.159,-0.321
72.852,-0.020,-0.305
73.052,0.214,-0.286
73.260,0.607,-0.265
73.468,1.208,-0.244
73.668,2.039,-0.228
73.876,3.232,-0.216
74.084,4.836,-0.210
74.284,6.843,-0.211
74.492,9.497,-0.217
74.700,12.768,-0.224
74.900,16.333,-0.231
75.108,20.273,-0.246
75.312,24.084,-0.263
75.512,27.773,-0.277
75.712,31.278,-0.285
75.912,34.623,-0.290
76.120,37.969,-0.289
76.328,41.213,-0.286
76.528,44.263,-0.280
76.736,47.383,-0.270
76.936,50.349,-0.255
77.144,53.416,-0.238
77.352,56.480,-0.216
77.552,59.431,-0.192
77.760,62.516,-0.166
77.968,65.630,-0.139
78.168,68.660,-0.112
78.376,71.849,-0.082
78.584,75.073,-0.049
78.784,78.196,-0.015
78.992,81.458,0.015
79.200,84.718,0.036
79.400,87.842,0.051
79.608,91.074,0.063
79.808,94.160,0.070
80.016,97.344,0.075
80.224,100.502,0.077
80.424,103.519,0.078
80.632,106.638,0.079
80.840,109.740,0.082
81.040,112.712,0.089
81.248,115.678,0.099
81.456,118.762,0.111
81.656,121.727,0.124
81.864,124.812,0.136
82.072,127.897,0.146
82.272,130.863,0.157
82.480,133.946,0.169
82.680,136.906,0.178
82.888,139.976,0.187
83.096,143.033,0.193
83.296,145.962,0.197
83.504,148.999,0.199
83.712,152.025,0.200
83.912,154.924,0.199
84.120,157.928,0.200
84.328,160.919,0.202
84.528,163.787,0.208
84.736,166.764,0.214
84.936,169.620,0.218
85.144,172.584,0.221
85.352,175.545,0.222
85.552,178.387,0.219
85.760,181.337,0.215
85.968,184.282,0.212
86.168,187.109,0.211
86.376,190.045,0.212
86.584,192.973,0.211
86.784,195.781,0.210
86.992,198.695,0.210
87.200,201.606,0.212
87.400,204.404,0.212
87.608,207.311,0.213
87.808,210.102,0.216
88.016,213.000,0.220
88.224,215.895,0.222
88.424,218.677,0.223
88.632,221.572,0.219
88.840,224.465,0.211
89.040,227.244,0.201
89.248,230.132,0.192
89.456,233.017,0.183
89.656,235.786,0.177
89.864,238.660,0.175
90.072,241.530,0.175
90.272,244.288,0.175
90.480,247.156,0.176
90.680,249.911,0.177
90.888,252.776,0.179
91.096,255.642,0.178
91.296,258.398,0.175
91.504,261.265,0.172
91.712,264.130,0.168
91.912,266.887,0.167
92.120,269.754,0.166
92.328,272.621,0.163
92.528,275.378,0.160
92.736,278.247,0.156
92.936,281.004,0.148
93.144,283.864,0.136
93.352,286.717,0.119
93.552,289.456,0.098
93.760,292.304,0.074
93.968,295.145,0.048
94.168,297.810,0.021
94.372,300.405,-0.008
94.572,302.936,-0.037
94.772,305.408,-0.066
94.980,307.912,-0.096
95.180,310.250,-0.121
95.388,312.599,-0.141
95.596,314.857,-0.153
95.796,316.938,-0.160
96.004,319.014,-0.164
96.212,320.999,-0.166
96.412,322.824,-0.168
96.620,324.643,-0.166
96.828,326.387,-0.164
97.028,327.995,-0.157
97.236,329.599,-0.149
97.436,331.078,-0.142
97.644,332.554,-0.135
97.852,333.966,-0.126
98.052,335.266,-0.115
98.260,336.558,-0.104
98.468,337.787,-0.091
98.668,338.913,-0.078
98.876,340.023,-0.064
99.084,341.081,-0.049
99.284,342.164,-0.036
99.492,343.235,-0.025
99.700,344.101,-0.013
99.900,344.567,-0.000
100.108,344.551,0.016
100.308,344.071,0.038
100.516,343.122,0.069
100.724,341.801,0.106
100.924,340.291,0.140
101.132,338.619,0.160
101.340,337.062,0.152
101.540,335.767,0.121
101.748,334.603,0.078
101.956,333.571,0.036
102.156,332.658,0.006
102.364,331.763,-0.011
102.572,330.905,-0.018
102.772,330.093,-0.021
102.980,329.199,-0.024
103.180,328.229,-0.036
103.388,327.081,-0.056
103.596,325.819,-0.076
103.796,324.565,-0.090
104.004,323.298,-0.096
104.212,322.109,-0.093
104.412,321.038,-0.085
104.620,319.987,-0.072
104.828,318.989,-0.062
105.028,318.070,-0.060
105.236,317.145,-0.066
105.436,316.244,-0.073
105.644,315.246,-0.081
105.852,314.165,-0.082
106.052,313.055,-0.074
106.260,311.862,-0.059
106.468,310.683,-0.043
106.668,309.598,-0.030
106.876,308.529,-0.024
107.084,307.518,-0.026
107.284,306.589,-0.032
107.492,305.641,-0.040
107.700,304.683,-0.047
107.900,303.778,-0.048
108.108,302.932,-0.044
108.308,302.253,-0.038
108.516,301.698,-0.035
108.724,301.283,-0.034
108.924,300.996,-0.032
109.132,300.790,-0.030
109.340,300.653,-0.031
109.540,300.572,-0.035
109.748,300.528,-0.040
109.956,300.515,-0.045
110.156,300.542,-0.051
110.360,300.615,-0.053
110.564,300.689,-0.051
110.768,300.753,-0.046
110.968,300.802,-0.041
111.168,300.840,-0.039
111.376,300.853,-0.042
111.584,300.834,-0.049
111.784,300.792,-0.058
111.992,300.734,-0.064
112.200,300.677,-0.068
112.400,300.627,-0.066
112.608,300.584,-0.059
112.808,300.550,-0.053
113.016,300.521,-0.048
113.220,300.502,-0.049
113.420,300.496,-0.054
113.620,300.502,-0.061
113.828,300.517,-0.066
114.028,300.539,-0.065
114.236,300.570,-0.059
114.436,300.601,-0.051
114.644,300.632,-0.039
114.852,300.659,-0.030
115.052,300.684,-0.025
115.260,300.708,-0.027
115.468,300.730,-0.031
115.668,300.743,-0.035
115.876,300.745,-0.038
116.080,300.731,-0.039
116.280,300.706,-0.038
116.480,300.675,-0.036
116.680,300.645,-0.033
116.888,300.616,-0.030
117.096,300.595,-0.029
117.296,300.580,-0.030
117.504,300.566,-0.032
117.712,300.556,-0.032
117.912,300.553,-0.034
118.120,300.557,-0.034
118.328,300.568,-0.036
118.528,300.580,-0.036
118.732,300.595,-0.036
118.932,300.614,-0.036
119.132,300.632,-0.037
119.340,300.650,-0.038
119.540,300.666,-0.039
119.748,300.681,-0.039
119.956,300.695,-0.038
120.156,300.709,-0.033
120.364,300.722,-0.026
120.572,300.726,-0.021
120.772,300.719,-0.022
120.980,300.700,-0.030
121.180,300.676,-0.037
121.388,300.648,-0.042
121.596,300.621,-0.042
121.796,300.597,-0.042
122.004,300.577,-0.040
122.212,300.563,-0.038
122.412,300.554,-0.037
122.620,300.549,-0.037
122.828,300.547,-0.040
123.028,300.547,-0.044
123.236,300.548,-0.047
123.436,300.552,-0.050
123.644,300.559,-0.049
123.852,300.570,-0.045
124.052,300.581,-0.040
124.260,300.592,-0.037
124.468,300.604,-0.036
124.668,300.615,-0.034
124.876,300.623,-0.030
125.084,300.629,-0.026
125.284,300.632,-0.025
125.492,300.633,-0.027
125.700,300.634,-0.030
125.900,300.635,-0.033
126.108,300.637,-0.036
126.308,300.638,-0.039
126.516,300.639,-0.038
