[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-23-21-01-629456-DESKTOP-Kilogram-693
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [728]
[mavros_node-1] [INFO] [1785162061.855845726] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785162061.855954089] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785162061.855962410] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785162061.855966296] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785162061.855969525] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785162061.866712432] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785162061.866764014] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785162061.866777145] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785162061.866781594] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785162061.866817577] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785162061.909160148] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785162061.909222906] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785162061.909557483] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785162061.909578976] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785162061.909592993] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785162061.912803064] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785162061.918661832] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785162061.943644913] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785162061.943716332] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785162061.970905644] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785162061.970973748] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785162061.976063358] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785162061.976118141] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785162061.980945639] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785162061.981000439] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785162061.986023414] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785162061.986075620] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785162061.991163340] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785162061.991211622] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785162062.000745433] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785162062.000825548] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785162062.006655208] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785162062.006752665] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785162062.014639024] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785162062.014707347] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785162062.014718323] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785162062.022484468] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785162062.022555699] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785162062.030065556] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785162062.030136213] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785162062.039630106] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785162062.039701644] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785162062.053200921] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785162062.053272691] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785162062.062871309] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785162062.062954919] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785162062.077182814] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785162062.077259597] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785162062.094921166] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785162062.095010100] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785162062.103392769] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785162062.103462025] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785162062.112742747] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785162062.112833023] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785162062.122025707] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785162062.122091102] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785162062.134841599] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785162062.134901686] [mavros.mavros]: Plugin guided_target initialized
