[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-22-41-41-183168-DESKTOP-Kilogram-664
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [718]
[mavros_node-1] [INFO] [1785159702.750170487] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785159702.751709239] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785159702.752409381] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785159702.752939240] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785159702.753556839] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785159702.838438378] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785159702.838559127] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785159702.838586745] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785159702.838599195] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785159702.838741002] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785159703.217531377] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785159703.217725187] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785159703.224074087] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785159703.224192390] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785159703.224244201] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785159703.270213964] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785159703.319826490] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785159703.335431393] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785159703.335608811] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785159703.407214280] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785159703.407400390] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785159703.423541649] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785159703.423773955] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785159703.444403253] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785159703.444571915] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785159703.465010315] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785159703.465223487] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785159703.489650285] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785159703.490667960] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785159703.527289994] [mavros.mavros]: Plugin command created
