t,n,e
8.644,-0.000,0.002
8.848,0.002,0.001
9.052,0.007,0.001
9.252,0.008,0.004
9.460,0.008,0.011
9.668,0.009,0.013
9.868,0.012,0.016
10.076,0.014,0.019
10.280,0.011,0.019
10.484,0.004,0.017
10.696,-0.002,0.014
10.900,-0.005,0.011
11.108,-0.007,0.006
11.320,-0.007,-0.001
11.532,-0.008,-0.006
11.736,-0.011,-0.010
11.944,-0.013,-0.013
12.152,-0.014,-0.013
12.352,-0.016,-0.012
12.560,-0.018,-0.010
12.768,-0.021,-0.012
12.976,-0.025,-0.015
13.184,-0.027,-0.019
13.384,-0.025,-0.023
13.592,-0.021,-0.027
13.800,-0.018,-0.032
14.004,-0.017,-0.036
14.204,-0.018,-0.037
14.412,-0.021,-0.038
14.620,-0.025,-0.037
14.820,-0.027,-0.032
15.028,-0.030,-0.027
15.236,-0.029,-0.024
15.440,-0.025,-0.025
15.644,-0.023,-0.029
15.852,-0.022,-0.030
16.060,-0.024,-0.028
16.268,-0.026,-0.027
16.476,-0.029,-0.023
16.680,-0.032,-0.020
16.884,-0.038,-0.017
17.088,-0.044,-0.016
17.296,-0.049,-0.013
17.504,-0.053,-0.012
17.712,-0.055,-0.013
17.920,-0.056,-0.016
18.128,-0.054,-0.018
18.336,-0.052,-0.017
18.536,-0.048,-0.016
18.744,-0.043,-0.015
18.952,-0.039,-0.013
19.160,-0.036,-0.012
19.368,-0.036,-0.009
19.572,-0.034,-0.008
19.780,-0.030,-0.009
19.984,-0.026,-0.010
20.192,-0.019,-0.011
20.400,-0.015,-0.011
20.604,-0.011,-0.008
20.812,-0.010,-0.005
21.016,-0.011,-0.001
21.216,-0.010,0.003
21.420,-0.008,0.008
21.628,-0.006,0.010
21.836,-0.001,0.009
22.036,0.005,0.006
22.244,0.011,0.004
22.452,0.016,0.004
22.660,0.018,0.007
22.864,0.018,0.008
23.068,0.017,0.007
23.284,0.015,0.006
23.484,0.016,0.008
23.692,0.019,0.013
23.900,0.023,0.017
24.100,0.023,0.022
24.304,0.020,0.028
24.508,0.016,0.034
24.716,0.015,0.036
24.924,0.016,0.035
25.132,0.020,0.032
25.340,0.022,0.027
25.548,0.023,0.022
25.748,0.023,0.021
25.956,0.022,0.021
26.164,0.020,0.024
26.368,0.017,0.026
26.572,0.011,0.027
26.776,0.006,0.029
26.984,0.004,0.030
27.188,0.004,0.029
27.392,0.005,0.027
27.600,0.006,0.023
27.808,0.011,0.017
28.016,0.018,0.009
28.224,0.022,0.003
28.428,0.023,-0.001
28.636,0.023,-0.002
28.840,0.019,-0.001
29.048,0.014,0.000
29.248,0.010,0.001
29.456,0.008,0.003
29.664,0.007,0.003
29.872,0.007,0.002
30.084,0.009,0.002
30.292,0.010,0.003
30.496,0.009,0.001
30.696,0.008,-0.002
30.904,0.008,-0.006
31.112,0.008,-0.009
31.312,0.003,-0.011
31.520,-0.002,-0.011
31.728,-0.005,-0.008
31.936,-0.008,-0.006
32.136,-0.010,-0.007
32.344,-0.010,-0.009
32.552,-0.007,-0.012
32.756,-0.002,-0.014
32.960,0.002,-0.016
33.164,0.004,-0.017
33.372,0.005,-0.015
33.572,0.004,-0.008
33.780,0.002,0.000
33.988,0.001,0.008
34.188,0.000,0.014
34.400,-0.000,0.014
34.604,0.000,0.012
34.804,0.000,0.009
35.012,-0.001,0.007
35.212,-0.004,0.007
35.424,-0.007,0.005
35.628,-0.010,0.004
35.828,-0.011,0.004
36.032,-0.012,0.005
36.236,-0.014,0.010
36.440,-0.016,0.015
36.640,-0.017,0.017
36.840,-0.019,0.014
37.048,-0.022,0.008
37.256,-0.022,0.001
37.456,-0.022,-0.005
37.664,-0.021,-0.006
37.872,-0.020,-0.002
38.072,-0.016,0.003
38.280,-0.012,0.009
38.488,-0.008,0.016
38.688,-0.004,0.022
38.896,-0.000,0.025
39.100,0.004,0.025
39.308,0.011,0.022
39.508,0.015,0.019
39.716,0.018,0.017
39.924,0.021,0.017
40.124,0.022,0.016
40.332,0.022,0.015
40.540,0.020,0.011
40.740,0.016,0.007
40.948,0.011,0.003
41.148,0.005,-0.000
41.360,0.004,-0.004
41.564,0.004,-0.007
41.768,0.003,-0.009
41.972,-0.001,-0.007
42.176,-0.001,-0.006
42.384,-0.001,-0.004
42.584,0.001,-0.002
42.792,-0.001,-0.003
43.000,-0.004,-0.004
43.200,-0.007,-0.005
43.408,-0.010,-0.006
43.616,-0.012,-0.006
43.816,-0.013,-0.005
44.024,-0.011,-0.004
44.232,-0.009,-0.001
44.432,-0.009,0.001
44.640,-0.011,0.003
44.840,-0.012,0.005
45.048,-0.011,0.006
45.256,-0.010,0.005
45.456,-0.008,0.003
45.664,-0.007,-0.001
45.872,-0.009,-0.004
46.076,-0.010,-0.009
46.276,-0.011,-0.016
46.484,-0.010,-0.021
46.692,-0.010,-0.025
46.892,-0.009,-0.026
47.100,-0.006,-0.025
47.308,-0.003,-0.023
47.508,0.001,-0.022
47.716,0.003,-0.018
47.924,0.006,-0.014
48.124,0.010,-0.009
48.332,0.013,-0.002
48.540,0.016,0.001
