t,n,e
5.876,-0.000,0.000
6.084,-0.000,0.000
6.284,-0.000,0.000
6.484,0.000,0.000
6.684,0.001,0.000
6.884,0.001,0.001
7.092,0.002,0.001
7.292,0.002,0.002
7.492,0.000,0.004
7.692,-0.002,0.006
7.892,-0.005,0.006
8.092,-0.006,0.003
8.300,-0.001,-0.003
8.508,0.006,-0.010
8.708,0.013,-0.015
8.916,0.015,-0.020
9.124,0.014,-0.022
9.332,0.012,-0.024
9.540,0.012,-0.027
9.740,0.017,-0.030
9.948,0.026,-0.031
10.156,0.035,-0.032
10.360,0.039,-0.031
10.560,0.037,-0.025
10.768,0.032,-0.018
10.972,0.026,-0.012
11.176,0.020,-0.005
11.384,0.018,-0.000
11.592,0.018,0.003
11.800,0.020,0.004
12.008,0.021,0.004
12.208,0.022,0.006
12.416,0.024,0.007
12.624,0.028,0.006
12.832,0.033,0.004
13.040,0.037,0.002
13.240,0.042,-0.000
13.448,0.047,0.000
13.656,0.047,0.003
13.864,0.048,0.004
14.072,0.049,0.005
14.272,0.050,0.006
14.480,0.049,0.007
14.688,0.048,0.005
14.896,0.047,0.002
15.104,0.044,-0.001
15.304,0.040,0.000
15.512,0.033,0.004
15.720,0.024,0.009
15.928,0.018,0.015
16.136,0.017,0.019
16.344,0.016,0.023
16.552,0.016,0.027
16.760,0.017,0.028
16.972,0.019,0.027
17.176,0.019,0.024
17.376,0.019,0.020
17.584,0.017,0.013
17.788,0.015,0.006
17.996,0.012,-0.002
18.196,0.009,-0.009
18.404,0.007,-0.014
18.612,0.005,-0.015
18.812,0.002,-0.012
19.016,-0.001,-0.009
19.216,-0.004,-0.006
19.424,-0.008,-0.003
19.632,-0.013,0.001
19.840,-0.018,0.005
20.048,-0.021,0.009
20.248,-0.019,0.011
20.452,-0.016,0.011
20.660,-0.013,0.011
20.868,-0.009,0.008
21.068,-0.005,0.005
21.276,-0.001,0.003
21.484,0.004,0.002
21.692,0.010,0.002
21.900,0.016,0.004
22.100,0.022,0.004
22.308,0.026,0.002
22.512,0.028,-0.001
22.720,0.028,-0.005
22.920,0.028,-0.006
23.128,0.027,-0.005
23.336,0.029,-0.003
23.536,0.032,0.000
23.744,0.034,0.003
23.952,0.034,0.006
24.160,0.029,0.009
24.368,0.021,0.009
24.568,0.012,0.009
24.776,0.005,0.010
24.984,-0.001,0.010
25.192,-0.004,0.009
25.400,-0.004,0.011
25.600,-0.004,0.013
25.808,-0.005,0.016
26.016,-0.008,0.016
26.216,-0.010,0.012
26.424,-0.014,0.006
26.632,-0.021,0.002
26.840,-0.028,0.000
27.048,-0.032,-0.000
27.248,-0.034,-0.000
27.456,-0.035,-0.001
27.664,-0.033,-0.001
27.872,-0.031,-0.001
28.080,-0.030,-0.001
28.280,-0.029,-0.006
28.488,-0.033,-0.017
28.696,-0.040,-0.033
28.904,-0.048,-0.049
29.112,-0.056,-0.062
29.312,-0.064,-0.073
29.520,-0.068,-0.081
29.728,-0.069,-0.083
29.936,-0.065,-0.075
30.144,-0.051,-0.056
30.344,-0.038,-0.039
30.552,-0.036,-0.027
30.760,-0.044,-0.028
30.968,-0.061,-0.037
31.176,-0.075,-0.048
31.376,-0.079,-0.053
31.584,-0.068,-0.050
31.792,-0.049,-0.040
32.000,-0.028,-0.028
32.200,-0.013,-0.022
32.408,-0.005,-0.021
32.616,-0.009,-0.024
32.816,-0.024,-0.027
33.024,-0.045,-0.028
33.232,-0.059,-0.025
33.432,-0.063,-0.020
33.640,-0.059,-0.016
33.840,-0.050,-0.014
34.048,-0.037,-0.015
34.256,-0.028,-0.019
34.456,-0.024,-0.023
34.664,-0.025,-0.027
34.872,-0.029,-0.030
35.072,-0.038,-0.029
35.280,-0.046,-0.026
35.488,-0.049,-0.024
35.688,-0.048,-0.023
35.896,-0.041,-0.024
36.104,-0.030,-0.029
36.304,-0.020,-0.034
36.512,-0.013,-0.033
36.712,-0.012,-0.030
36.920,-0.015,-0.029
37.128,-0.019,-0.030
37.328,-0.018,-0.031
37.536,-0.015,-0.026
37.744,-0.009,-0.017
37.944,-0.002,-0.011
38.152,0.006,-0.009
38.360,0.010,-0.012
38.560,0.009,-0.016
38.768,0.005,-0.017
38.968,-0.001,-0.014
39.176,-0.010,-0.010
39.384,-0.018,-0.007
39.584,-0.022,-0.010
39.792,-0.019,-0.016
40.000,-0.010,-0.019
40.200,-0.002,-0.015
40.408,0.000,-0.007
40.616,-0.005,0.000
40.816,-0.015,0.003
41.024,-0.029,-0.001
41.232,-0.043,-0.010
41.432,-0.053,-0.017
41.640,-0.058,-0.020
41.840,-0.056,-0.021
42.048,-0.049,-0.020
42.256,-0.040,-0.017
42.456,-0.031,-0.018
42.664,-0.024,-0.021
42.872,-0.023,-0.018
43.072,-0.028,-0.008
43.280,-0.037,0.005
43.488,-0.044,0.016
43.688,-0.047,0.020
43.896,-0.044,0.015
44.104,-0.039,0.004
44.304,-0.035,-0.004
44.512,-0.036,-0.004
44.712,-0.040,0.001
44.920,-0.047,0.007
45.128,-0.053,0.009
45.328,-0.055,0.009
45.536,-0.052,0.008
45.744,-0.043,0.005
45.944,-0.031,0.006
46.152,-0.024,0.010
46.360,-0.026,0.015
46.560,-0.037,0.015
46.768,-0.049,0.012
46.968,-0.056,0.006
47.176,-0.061,0.002
47.384,-0.064,0.001
47.584,-0.061,0.004
47.792,-0.052,0.012
48.000,-0.041,0.018
48.200,-0.034,0.022
48.408,-0.033,0.022
48.616,-0.033,0.016
48.816,-0.036,0.007
49.024,-0.040,-0.003
49.232,-0.040,-0.006
49.432,-0.036,-0.004
49.640,-0.029,0.004
49.840,-0.022,0.014
50.048,-0.013,0.020
50.256,-0.005,0.017
50.456,0.001,0.009
50.664,0.003,-0.000
50.868,0.001,-0.007
51.076,-0.004,-0.008
51.276,-0.010,-0.004
51.484,-0.014,0.003
51.692,-0.014,0.013
51.892,-0.011,0.021
52.100,-0.005,0.022
52.308,0.003,0.017
52.508,0.006,0.010
52.716,0.004,0.004
52.924,-0.002,0.002
53.124,-0.006,0.006
53.332,-0.008,0.016
53.540,-0.005,0.027
53.740,0.001,0.035
53.948,0.010,0.037
54.148,0.014,0.031
54.356,0.015,0.017
54.564,0.014,0.004
54.764,0.013,-0.006
54.972,0.011,-0.012
55.180,0.010,-0.014
55.380,0.013,-0.016
55.588,0.019,-0.020
55.796,0.020,-0.024
55.996,0.016,-0.028
56.204,0.003,-0.033
56.404,-0.015,-0.039
56.612,-0.034,-0.046
56.820,-0.049,-0.053
57.020,-0.057,-0.063
57.228,-0.059,-0.078
57.436,-0.058,-0.094
57.636,-0.054,-0.107
57.844,-0.049,-0.121
58.052,-0.046,-0.133
58.252,-0.044,-0.144
58.460,-0.044,-0.154
58.668,-0.046,-0.165
58.868,-0.048,-0.175
59.076,-0.049,-0.186
59.276,-0.051,-0.195
59.484,-0.054,-0.201
59.692,-0.056,-0.206
59.892,-0.060,-0.209
60.100,-0.067,-0.214
60.308,-0.075,-0.219
60.508,-0.080,-0.223
60.716,-0.082,-0.227
60.924,-0.078,-0.233
61.124,-0.074,-0.240
61.332,-0.074,-0.248
61.540,-0.080,-0.258
61.740,-0.089,-0.266
61.948,-0.100,-0.275
62.148,-0.110,-0.282
62.356,-0.117,-0.288
62.564,-0.123,-0.295
62.764,-0.126,-0.299
62.972,-0.126,-0.301
63.180,-0.126,-0.303
63.380,-0.124,-0.305
63.588,-0.122,-0.308
63.796,-0.120,-0.308
63.996,-0.116,-0.308
64.204,-0.108,-0.306
64.404,-0.100,-0.303
64.604,-0.092,-0.298
64.804,-0.087,-0.291
65.004,-0.081,-0.282
65.212,-0.077,-0.275
65.412,-0.077,-0.270
65.620,-0.080,-0.267
65.828,-0.085,-0.264
66.028,-0.091,-0.262
66.236,-0.098,-0.261
66.436,-0.105,-0.263
66.644,-0.110,-0.264
66.852,-0.111,-0.263
67.052,-0.107,-0.260
67.260,-0.100,-0.257
67.468,-0.092,-0.260
67.668,-0.089,-0.269
67.876,-0.089,-0.280
68.084,-0.091,-0.290
68.284,-0.086,-0.293
68.492,-0.062,-0.291
68.700,0.002,-0.285
68.900,0.131,-0.278
69.108,0.376,-0.270
69.308,0.765,-0.264
69.516,1.380,-0.265
69.724,2.272,-0.277
69.924,3.451,-0.294
70.132,5.088,-0.319
70.340,7.222,-0.354
70.540,9.826,-0.395
70.748,13.079,-0.441
70.956,16.681,-0.482
71.156,20.284,-0.512
71.364,24.012,-0.524
71.572,27.633,-0.510
71.772,30.991,-0.471
71.980,34.369,-0.409
72.180,37.532,-0.329
72.388,40.714,-0.230
72.596,43.812,-0.130
72.796,46.730,-0.043
73.004,49.709,0.030
73.212,52.631,0.079
73.412,55.382,0.108
73.620,58.169,0.126
73.828,60.870,0.136
74.028,63.380,0.146
74.236,65.901,0.163
74.436,68.242,0.186
74.644,70.590,0.213
74.852,72.850,0.242
75.052,74.942,0.274
75.260,77.036,0.307
75.464,78.974,0.340
75.664,80.845,0.375
75.864,82.652,0.413
76.072,84.465,0.453
76.272,86.147,0.492
76.480,87.833,0.531
76.680,89.394,0.571
76.888,90.959,0.614
77.096,92.465,0.655
77.296,93.858,0.694
77.504,95.249,0.735
77.712,96.574,0.773
77.912,97.785,0.806
78.120,98.976,0.838
78.328,100.104,0.871
78.528,101.130,0.904
78.736,102.271,0.937
78.936,103.453,0.960
79.144,104.569,0.972
79.352,105.475,0.979
79.552,105.961,0.987
79.760,105.965,0.994
79.968,105.487,1.001
80.168,104.609,1.008
80.376,103.313,1.013
80.584,101.734,1.011
80.784,100.059,0.999
80.992,98.358,0.972
81.200,96.860,0.937
81.400,95.611,0.905
81.608,94.462,0.875
81.808,93.455,0.848
82.016,92.473,0.822
82.224,91.612,0.800
82.424,90.752,0.780
82.632,89.833,0.758
82.840,88.811,0.733
83.040,87.689,0.709
83.248,86.399,0.682
83.456,85.052,0.657
83.656,83.787,0.638
83.864,82.553,0.621
84.072,81.406,0.605
84.272,80.373,0.587
84.480,79.359,0.567
84.680,78.431,0.548
84.888,77.501,0.529
85.096,76.573,0.513
85.296,75.633,0.498
85.504,74.565,0.482
85.712,73.407,0.467
85.912,72.243,0.457
86.120,71.035,0.447
86.328,69.876,0.437
86.528,68.823,0.431
86.736,67.785,0.421
86.936,66.838,0.404
87.144,65.889,0.382
87.352,64.944,0.357
87.552,64.004,0.333
87.760,62.968,0.312
87.968,61.872,0.297
88.168,60.783,0.289
88.376,59.646,0.284
88.584,58.546,0.276
88.784,57.457,0.263
88.992,56.467,0.242
89.200,55.510,0.221
89.400,54.594,0.200
89.608,53.619,0.180
89.808,52.640,0.166
90.016,51.576,0.155
90.224,50.483,0.145
90.424,49.425,0.137
90.632,48.342,0.125
90.840,47.295,0.109
91.040,46.322,0.093
91.248,45.336,0.076
91.456,44.373,0.061
91.656,43.514,0.051
91.864,42.746,0.046
92.072,42.124,0.046
92.272,41.659,0.048
92.480,41.297,0.052
92.680,41.049,0.055
92.888,40.874,0.054
93.096,40.765,0.053
93.296,40.707,0.053
93.504,40.683,0.052
93.712,40.690,0.047
93.912,40.746,0.043
94.120,40.817,0.038
94.328,40.879,0.038
94.528,40.928,0.038
94.736,40.971,0.032
94.936,40.992,0.019
95.144,40.982,0.007
95.352,40.942,-0.003
95.552,40.883,-0.009
95.760,40.814,-0.011
95.968,40.750,-0.011
96.168,40.694,-0.013
96.376,40.645,-0.017
96.584,40.607,-0.019
96.784,40.583,-0.020
96.992,40.574,-0.021
