[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-23-28-21-436163-DESKTOP-Kilogram-698
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [733]
[mavros_node-1] [INFO] [1785162501.670667774] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785162501.670780139] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785162501.670791141] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785162501.670809534] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785162501.670815765] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785162501.682044776] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785162501.682100136] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785162501.682112762] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785162501.682117280] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785162501.682158043] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785162501.724073345] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785162501.724134546] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785162501.724416040] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785162501.724431783] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785162501.724442929] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785162501.727451565] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785162501.733530181] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785162501.755393079] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785162501.755463518] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785162501.780935287] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785162501.780996623] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785162501.786224276] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785162501.786279866] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785162501.791578091] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785162501.791639727] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785162501.796947191] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785162501.797010215] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785162501.803030492] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785162501.803108125] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785162501.814271818] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785162501.814347970] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785162501.821345215] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785162501.821412429] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785162501.829840660] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785162501.829920075] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785162501.829932163] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785162501.837807136] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785162501.837887450] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785162501.845549231] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785162501.845602658] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785162501.854399306] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785162501.854455292] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785162501.867717701] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785162501.867785621] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785162501.877253379] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785162501.877333838] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785162501.895434513] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785162501.895544321] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785162501.917302893] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785162501.917392156] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785162501.926831248] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785162501.926895383] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785162501.938366045] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785162501.938441738] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785162501.949050816] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785162501.949146350] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785162501.959288748] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785162501.959358432] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785162501.972324270] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785162501.972418248] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785162501.982318538] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785162501.982372054] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785162501.994214816] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785162501.994305430] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785162502.008958462] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785162502.009024743] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785162502.025308854] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785162502.025409317] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785162502.042185287] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785162502.042258821] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785162502.052033907] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785162502.052131651] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785162502.061858064] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785162502.061915694] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785162502.072138552] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785162502.072201784] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785162502.087284822] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785162502.087384211] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785162502.099202524] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785162502.099291552] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785162502.111367437] [mavros.mavros]: Plugin obstacle_distance created
