t,n,e
5.796,-0.000,0.000
5.996,-0.001,0.000
6.204,-0.001,0.000
6.404,-0.001,-0.000
6.604,-0.001,-0.000
6.804,-0.000,-0.001
7.012,0.024,0.005
7.212,0.021,0.006
7.412,0.013,0.007
7.612,-0.002,0.008
7.812,-0.017,0.008
8.012,-0.023,0.009
8.220,-0.024,0.012
8.428,-0.022,0.012
8.636,-0.019,0.011
8.836,-0.016,0.009
9.044,-0.012,0.008
9.252,-0.008,0.009
9.460,-0.010,0.010
9.668,-0.014,0.010
9.868,-0.019,0.008
10.076,-0.021,0.004
10.284,-0.020,0.003
10.488,-0.014,0.005
10.692,-0.011,0.007
10.900,-0.011,0.008
11.108,-0.012,0.008
11.316,-0.012,0.008
11.524,-0.013,0.009
11.724,-0.014,0.010
11.932,-0.014,0.009
12.140,-0.015,0.006
12.348,-0.017,0.000
12.556,-0.019,-0.006
12.756,-0.021,-0.012
12.964,-0.023,-0.015
13.172,-0.027,-0.016
13.380,-0.032,-0.016
13.588,-0.038,-0.013
13.788,-0.041,-0.006
13.996,-0.045,0.002
14.204,-0.048,0.009
14.412,-0.050,0.014
14.620,-0.050,0.016
14.820,-0.050,0.016
15.028,-0.050,0.017
15.236,-0.050,0.017
15.444,-0.048,0.017
15.652,-0.047,0.015
15.852,-0.045,0.013
16.060,-0.042,0.010
16.260,-0.040,0.008
16.468,-0.036,0.006
16.676,-0.033,0.002
16.876,-0.032,-0.004
17.084,-0.033,-0.011
17.292,-0.037,-0.014
17.500,-0.040,-0.016
17.708,-0.038,-0.016
17.908,-0.034,-0.014
18.116,-0.032,-0.011
18.324,-0.035,-0.009
18.532,-0.039,-0.010
18.744,-0.042,-0.011
18.948,-0.045,-0.013
19.156,-0.044,-0.016
19.356,-0.039,-0.018
19.564,-0.033,-0.018
19.772,-0.028,-0.020
19.972,-0.025,-0.019
20.180,-0.025,-0.018
20.388,-0.025,-0.013
20.596,-0.022,-0.006
20.804,-0.019,0.000
21.004,-0.015,0.004
21.212,-0.013,0.006
21.420,-0.013,0.010
21.628,-0.015,0.013
21.836,-0.018,0.016
22.036,-0.022,0.018
22.244,-0.028,0.020
22.452,-0.034,0.022
22.660,-0.038,0.023
22.868,-0.043,0.023
23.068,-0.044,0.024
23.276,-0.046,0.022
23.484,-0.047,0.017
23.696,-0.044,0.013
23.900,-0.041,0.012
24.100,-0.040,0.012
24.308,-0.041,0.012
24.516,-0.043,0.009
24.716,-0.044,0.005
24.924,-0.046,0.002
25.132,-0.048,-0.000
25.340,-0.049,-0.003
25.548,-0.049,-0.005
25.748,-0.046,-0.007
25.956,-0.042,-0.009
26.164,-0.041,-0.011
26.372,-0.041,-0.013
26.580,-0.044,-0.013
26.780,-0.049,-0.013
26.988,-0.054,-0.012
27.196,-0.054,-0.011
27.404,-0.051,-0.010
27.612,-0.046,-0.008
27.812,-0.041,-0.006
28.020,-0.037,-0.004
28.228,-0.036,-0.001
28.436,-0.036,0.001
28.644,-0.037,0.001
28.848,-0.039,0.002
29.056,-0.039,0.005
29.264,-0.039,0.008
29.472,-0.038,0.012
29.680,-0.033,0.014
29.888,-0.027,0.015
30.096,-0.024,0.014
30.304,-0.021,0.009
30.504,-0.019,0.004
30.712,-0.019,-0.000
30.920,-0.020,-0.006
31.128,-0.023,-0.009
31.336,-0.028,-0.011
31.536,-0.030,-0.011
31.744,-0.031,-0.011
31.952,-0.030,-0.011
32.160,-0.029,-0.010
32.360,-0.028,-0.008
32.560,-0.028,-0.007
32.768,-0.026,-0.006
32.968,-0.021,-0.005
33.176,-0.016,-0.005
33.384,-0.010,-0.004
33.584,-0.007,-0.002
33.792,-0.008,-0.001
34.000,-0.010,-0.002
34.200,-0.010,-0.004
34.404,-0.010,-0.006
