t,n,e,seg_old,seg_new,seg_diff,tgt_old_n,tgt_old_e,tgt_new_n,tgt_new_e,tgt_dist_m
5.796,-0.0,0.0,0,0,0,69.99999999430618,-0.010266800741024125,69.99999999430618,-0.010266800741024125,0.0
5.996,-0.001,0.0,0,0,0,69.99899999430623,-0.010266789801323771,69.99899999430623,-0.010266789801323771,0.0
6.204,-0.001,0.0,0,0,0,69.99899999430623,-0.010266789801323771,69.99899999430623,-0.010266789801323771,0.0
6.404,-0.001,-0.0,0,0,0,69.99899999430623,-0.010266789801323771,69.99899999430623,-0.010266789801323771,0.0
6.604,-0.001,-0.0,0,0,0,69.99899999430623,-0.010266789801323771,69.99899999430623,-0.010266789801323771,0.0
6.804,-0.0,-0.001,0,0,0,69.99999999418839,-0.010266800741022836,69.99999999418839,-0.010266800741022836,0.0
7.012,0.024,0.005,0,0,0,70.02399999489371,-0.010267063293839068,70.02399999489371,-0.010267063293839068,0.0
7.212,0.021,0.006,0,0,0,70.02099999501168,-0.010267030474739295,70.02099999501168,-0.010267030474739295,0.0
7.412,0.013,0.007,0,0,0,70.01299999512996,-0.01026694295713775,70.01299999512996,-0.01026694295713775,0.0
7.612,-0.002,0.008,0,0,0,69.99799999524865,-0.010266778861633727,69.99799999524865,-0.010266778861633727,0.0
7.812,-0.017,0.008,825,0,-825,-0.03,-0.01,69.98299999524954,-0.010266614766128414,70.01299999575718
8.012,-0.023,0.009,825,0,-825,-0.03,-0.01,69.9769999953677,-0.010266549127927578,70.00699999587515
8.22,-0.024,0.012,825,0,-825,-0.03,-0.01,69.97599999572114,-0.01026653818823109,70.00599999622854
8.428,-0.022,0.012,825,0,-825,-0.03,-0.01,69.977999995721,-0.010266560067631799,70.00799999622848
8.636,-0.019,0.011,825,0,-825,-0.03,-0.01,69.98099999560304,-0.010266592886731572,70.01099999611061
8.836,-0.016,0.009,825,0,-825,-0.03,-0.01,69.98399999536727,-0.010266625705830057,70.01399999587495
9.044,-0.012,0.008,0,0,0,69.98799999524924,-0.010266669464630186,69.98799999524924,-0.010266669464630186,0.0
9.252,-0.008,0.009,0,0,0,69.9919999953668,-0.01026671322343289,69.9919999953668,-0.01026671322343289,0.0
9.46,-0.01,0.01,0,0,0,69.98999999548471,-0.010266691344033472,69.98999999548471,-0.010266691344033472,0.0
9.668,-0.014,0.01,825,0,-825,-0.03,-0.01,69.98599999548496,-0.010266647585232054,70.01599999599271
9.868,-0.019,0.008,825,0,-825,-0.03,-0.01,69.98099999524966,-0.010266592886727707,70.01099999575723
10.076,-0.021,0.004,825,0,-825,-0.03,-0.01,69.9789999947786,-0.010266571007321843,70.00899999528612
10.284,-0.02,0.003,825,0,-825,-0.03,-0.01,69.97999999466076,-0.01026658194702091,70.0099999951683
10.488,-0.014,0.005,0,0,0,69.98599999489599,-0.010266647585225611,69.98599999489599,-0.010266647585225611,0.0
10.692,-0.011,0.007,0,0,0,69.9889999951314,-0.010266680404329251,69.9889999951314,-0.010266680404329251,0.0
10.9,-0.011,0.008,0,0,0,69.98899999524919,-0.01026668040433054,69.98899999524919,-0.01026668040433054,0.0
11.108,-0.012,0.008,0,0,0,69.98799999524924,-0.010266669464630186,69.98799999524924,-0.010266669464630186,0.0
11.316,-0.012,0.008,0,0,0,69.98799999524924,-0.010266669464630186,69.98799999524924,-0.010266669464630186,0.0
11.524,-0.013,0.009,825,0,-825,-0.03,-0.01,69.9869999953671,-0.010266658524931119,70.01699999587488
11.724,-0.014,0.01,825,0,-825,-0.03,-0.01,69.98599999548496,-0.010266647585232054,70.01599999599271
11.932,-0.014,0.009,825,0,-825,-0.03,-0.01,69.98599999536717,-0.010266647585230765,70.0159999958749
12.14,-0.015,0.006,825,0,-825,-0.03,-0.01,69.98499999501384,-0.010266636645526546,70.01499999552155
12.348,-0.017,0.0,0,0,0,69.98299999430719,-0.010266614766118105,69.98299999430719,-0.010266614766118105,0.0
12.556,-0.019,-0.006,0,0,0,69.98099999360055,-0.010266592886709665,69.98099999360055,-0.010266592886709665,0.0
12.756,-0.021,-0.012,0,0,0,69.9789999928939,-0.010266571007301226,69.9789999928939,-0.010266571007301226,0.0
