[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-22-53-42-909904-DESKTOP-Kilogram-702
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [739]
[mavros_node-1] [INFO] [1785160423.152687719] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785160423.152817849] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785160423.152830260] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785160423.152836830] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785160423.152840683] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785160423.164026423] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785160423.164080548] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785160423.164092654] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785160423.164097153] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785160423.164130410] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785160423.205804502] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785160423.205856251] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785160423.206167360] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785160423.206187900] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785160423.206203304] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785160423.209222014] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785160423.215264227] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785160423.236707249] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785160423.236770580] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785160423.263337336] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785160423.263404635] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785160423.269020705] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785160423.269086450] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785160423.274375190] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785160423.274432862] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785160423.279711575] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785160423.279768971] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785160423.285819201] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785160423.285893385] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785160423.297000074] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785160423.297074393] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785160423.303809353] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785160423.303906203] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785160423.317713925] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785160423.317803019] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785160423.317816648] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785160423.327486136] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785160423.327587449] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785160423.337934567] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785160423.338041600] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785160423.350382343] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785160423.350465433] [mavros.mavros]: Plugin fake_gps initialized
