t,n,e
6.012,0.000,-0.000
6.212,0.000,-0.001
6.412,-0.000,-0.001
6.612,-0.001,-0.000
6.812,-0.001,0.000
7.020,-0.002,0.000
7.224,-0.002,0.001
7.428,-0.001,-0.000
7.628,0.000,-0.001
7.828,0.001,-0.001
8.032,0.002,-0.000
8.240,0.002,-0.000
8.448,0.000,0.001
8.656,-0.000,0.001
8.864,-0.001,0.002
9.072,-0.001,0.006
9.272,-0.002,0.014
9.480,-0.005,0.018
9.688,-0.007,0.018
9.896,-0.007,0.016
10.104,-0.005,0.013
10.304,-0.005,0.010
10.512,-0.008,0.006
10.720,-0.008,0.004
10.928,-0.008,-0.001
11.136,-0.009,-0.008
11.336,-0.009,-0.013
11.544,-0.008,-0.018
11.752,-0.010,-0.019
11.956,-0.010,-0.018
12.156,-0.009,-0.017
12.364,-0.010,-0.017
12.572,-0.011,-0.018
12.772,-0.014,-0.018
12.980,-0.018,-0.019
13.188,-0.021,-0.020
13.396,-0.022,-0.020
13.604,-0.023,-0.020
13.804,-0.023,-0.020
14.012,-0.024,-0.019
14.220,-0.023,-0.019
14.428,-0.022,-0.022
14.636,-0.020,-0.028
14.836,-0.018,-0.034
15.044,-0.017,-0.038
15.252,-0.018,-0.039
15.460,-0.022,-0.039
15.664,-0.029,-0.041
15.864,-0.036,-0.041
16.072,-0.043,-0.040
16.280,-0.047,-0.039
16.488,-0.050,-0.038
16.696,-0.051,-0.041
16.904,-0.051,-0.046
17.112,-0.051,-0.053
17.312,-0.048,-0.058
17.520,-0.044,-0.060
17.728,-0.041,-0.060
17.936,-0.039,-0.059
18.144,-0.037,-0.054
18.344,-0.039,-0.050
18.552,-0.042,-0.046
18.760,-0.049,-0.043
18.968,-0.056,-0.041
19.176,-0.062,-0.039
19.376,-0.068,-0.036
19.584,-0.069,-0.032
19.792,-0.068,-0.029
20.000,-0.065,-0.026
20.208,-0.059,-0.024
20.412,-0.052,-0.024
20.616,-0.044,-0.024
20.824,-0.037,-0.021
