t,n,e,seg_old,seg_new,seg_diff,tgt_old_n,tgt_old_e,tgt_new_n,tgt_new_e,tgt_dist_m
6.012,0.0,-0.0,0,0,0,69.99999999312584,-0.00026723832902540376,69.99999999312584,-0.00026723832902540376,0.0
6.212,0.0,-0.001,0,0,0,69.99999999300805,-0.00026723832902411513,69.99999999300805,-0.00026723832902411513,0.0
6.412,-0.0,-0.001,0,0,0,69.99999999300805,-0.00026723832902411513,69.99999999300805,-0.00026723832902411513,0.0
6.612,-0.001,-0.0,0,0,0,69.9989999931259,-0.0002672273893250497,69.9989999931259,-0.0002672273893250497,0.0
6.812,-0.001,0.0,0,0,0,69.9989999931259,-0.0002672273893250497,69.9989999931259,-0.0002672273893250497,0.0
7.02,-0.002,0.0,0,0,0,69.99799999312596,-0.0002672164496246956,69.99799999312596,-0.0002672164496246956,0.0
7.224,-0.002,0.001,0,0,0,69.99799999324375,-0.0002672164496259842,69.99799999324375,-0.0002672164496259842,0.0
7.428,-0.001,-0.0,0,0,0,69.9989999931259,-0.0002672273893250497,69.9989999931259,-0.0002672273893250497,0.0
7.628,0.0,-0.001,0,0,0,69.99999999300805,-0.00026723832902411513,69.99999999300805,-0.00026723832902411513,0.0
7.828,0.001,-0.001,0,0,0,70.000999993008,-0.00026724926872446933,70.000999993008,-0.00026724926872446933,0.0
8.032,0.002,-0.0,0,0,0,70.00199999312572,-0.0002672602084261121,70.00199999312572,-0.0002672602084261121,0.0
8.24,0.002,-0.0,0,0,0,70.00199999312572,-0.0002672602084261121,70.00199999312572,-0.0002672602084261121,0.0
8.448,0.0,0.001,0,0,0,69.99999999324363,-0.0002672383290266924,69.99999999324363,-0.0002672383290266924,0.0
8.656,-0.0,0.001,0,0,0,69.99999999324363,-0.0002672383290266924,69.99999999324363,-0.0002672383290266924,0.0
8.864,-0.001,0.002,0,0,0,69.9989999933615,-0.000267227389327627,69.9989999933615,-0.000267227389327627,0.0
9.072,-0.001,0.006,0,0,0,69.99899999383267,-0.0002672273893327815,69.99899999383267,-0.0002672273893327815,0.0
9.272,-0.002,0.014,0,0,0,69.99799999477507,-0.00026721644964273637,69.99799999477507,-0.00026721644964273637,0.0
9.48,-0.005,0.018,0,0,0,69.99499999524643,-0.0002671836305468285,69.99499999524643,-0.0002671836305468285,0.0
9.688,-0.007,0.018,0,0,0,69.99299999524655,-0.0002671617511461203,69.99299999524655,-0.0002671617511461203,0.0
9.896,-0.007,0.016,0,0,0,69.99299999501096,-0.00026716175114354306,69.99299999501096,-0.00026716175114354306,0.0
10.104,-0.005,0.013,0,0,0,69.99499999465746,-0.00026718363054038536,69.99499999465746,-0.00026718363054038536,0.0
10.304,-0.005,0.01,0,0,0,69.99499999430408,-0.0002671836305365195,69.99499999430408,-0.0002671836305365195,0.0
10.512,-0.008,0.006,0,0,0,69.99199999383309,-0.0002671508114303026,69.99199999383309,-0.0002671508114303026,0.0
