t,phase,sp_mode,east,north,up,mode,armed,vtol_state
1785091078.4714959,arm,hold,0.01,-0.01,-0.36,AUTO.LOITER,False,3
1785091081.9684596,arm,hold,0.02,-0.01,-0.35,AUTO.LOITER,False,3
1785091082.0714583,arm,hold,0.02,-0.01,-0.35,AUTO.LOITER,False,3
1785091082.2713506,arm,hold,0.02,-0.01,-0.35,AUTO.LOITER,False,3
1785091082.4717367,takeoff,hold,0.03,-0.01,-0.35,AUTO.LOITER,True,3
1785091082.6714513,takeoff,hold,0.03,-0.01,-0.35,AUTO.LOITER,True,3
1785091082.8721085,takeoff,hold,0.03,-0.01,-0.35,AUTO.LOITER,True,3
1785091083.0717824,takeoff,hold,0.04,-0.01,-0.35,AUTO.LOITER,True,3
1785091083.2713847,takeoff,hold,0.04,-0.01,-0.35,AUTO.LOITER,True,3
1785091083.4713397,takeoff,hold,0.03,-0.01,-0.35,AUTO.TAKEOFF,True,3
1785091083.6723049,takeoff,hold,0.03,-0.0,-0.34,AUTO.TAKEOFF,True,3
1785091083.8718512,takeoff,hold,0.03,0.0,-0.34,AUTO.TAKEOFF,True,3
1785091084.071941,takeoff,hold,0.02,0.01,-0.34,AUTO.TAKEOFF,True,3
1785091084.2718525,takeoff,hold,0.02,0.01,-0.34,AUTO.TAKEOFF,True,3
1785091084.47223,takeoff,hold,0.02,0.02,-0.34,AUTO.TAKEOFF,True,3
1785091084.671674,takeoff,hold,0.02,0.02,-0.34,AUTO.TAKEOFF,True,3
1785091084.8718545,takeoff,hold,0.01,0.02,-0.35,AUTO.TAKEOFF,True,3
1785091085.071816,takeoff,hold,0.01,0.02,-0.35,AUTO.TAKEOFF,True,3
1785091085.2715552,takeoff,hold,0.01,0.02,-0.34,AUTO.TAKEOFF,True,3
1785091085.471965,takeoff,hold,0.01,0.02,-0.31,AUTO.TAKEOFF,True,3
1785091085.672248,takeoff,hold,0.02,0.01,-0.25,AUTO.TAKEOFF,True,3
1785091085.872054,takeoff,hold,0.05,0.0,-0.14,AUTO.TAKEOFF,True,3
1785091086.0717056,takeoff,hold,0.07,-0.01,0.01,AUTO.TAKEOFF,True,3
1785091086.2716153,takeoff,hold,0.09,-0.03,0.19,AUTO.TAKEOFF,True,3
1785091086.4715114,takeoff,hold,0.12,-0.05,0.4,AUTO.TAKEOFF,True,3
1785091086.6714125,takeoff,hold,0.14,-0.08,0.63,AUTO.TAKEOFF,True,3
1785091086.8719895,takeoff,hold,0.15,-0.1,0.89,AUTO.TAKEOFF,True,3
1785091087.0718856,takeoff,hold,0.14,-0.1,1.17,AUTO.TAKEOFF,True,3
