[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-02-26-42-584421-DESKTOP-Kilogram-724
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [752]
[mavros_node-1] [INFO] [1785086802.783362878] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785086802.783460302] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785086802.783468463] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785086802.783472070] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785086802.783475090] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785086802.796523513] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785086802.796581126] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785086802.796596248] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785086802.796601934] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785086802.796660074] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785086802.854728114] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785086802.854778204] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785086802.855069543] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785086802.855088795] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785086802.855101858] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785086802.858784841] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785086802.864169407] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785086802.889368906] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785086802.889436314] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785086802.918458108] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785086802.918523019] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785086802.923923480] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785086802.923998493] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785086802.929210535] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785086802.929272279] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785086802.934349410] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785086802.934412221] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785086802.939407756] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785086802.939461272] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785086802.948592829] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785086802.948664124] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785086802.954229848] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785086802.954281128] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785086802.960967932] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785086802.961043584] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785086802.961053240] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785086802.967548569] [mavros.mavros]: Plugin esc_status created
