[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-04-25-38-666456-DESKTOP-Kilogram-690
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [735]
[mavros_node-1] [INFO] [1785093938.938674492] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785093938.938767621] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785093938.938775735] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785093938.938779679] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785093938.938783123] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785093938.949006300] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785093938.949053195] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785093938.949064544] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785093938.949068290] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785093938.949097415] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785093938.990139204] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785093938.990202349] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785093938.990653711] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785093938.990680132] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785093938.990696984] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785093938.993971186] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785093938.999552698] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785093939.022275596] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785093939.022356971] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785093939.052330141] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785093939.052397814] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785093939.058151522] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785093939.058222722] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785093939.064264099] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785093939.064328257] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785093939.070068552] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785093939.070130552] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785093939.076272486] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785093939.076328123] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785093939.087214567] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785093939.087282659] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785093939.093785061] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785093939.093817599] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785093939.101619876] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785093939.101691998] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785093939.101703582] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785093939.109830146] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785093939.109900736] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785093939.117418976] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785093939.117494510] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785093939.126881784] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785093939.126955691] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785093939.141245906] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785093939.141319670] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785093939.152952244] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785093939.153045909] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785093939.170189341] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785093939.170288659] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785093939.188469111] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785093939.188564473] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785093939.196797395] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785093939.196877315] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785093939.207438093] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785093939.207503281] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785093939.218657882] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785093939.218736253] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785093939.229355989] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785093939.229419997] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785093939.243953018] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785093939.244034614] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785093939.256884633] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785093939.256960876] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785093939.270751229] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785093939.270832975] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785093939.283595146] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785093939.283677192] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785093939.297736631] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785093939.297800429] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785093939.313613933] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785093939.313697152] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785093939.326363177] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785093939.326438925] [mavros.mavros]: Plugin mag_calibration_status initialized
