[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-04-06-16-564406-DESKTOP-Kilogram-729
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [766]
[mavros_node-1] [INFO] [1785092776.814783425] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785092776.814904547] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785092776.814918396] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785092776.814925394] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785092776.814929512] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785092776.827401428] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785092776.827460865] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785092776.827478366] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785092776.827483617] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785092776.827521858] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785092776.876998294] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785092776.877056923] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785092776.877387302] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785092776.877408571] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785092776.877421289] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785092776.880930843] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785092776.886479469] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785092776.910339657] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785092776.910413108] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785092776.941717810] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785092776.941787777] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785092776.948368619] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785092776.948419945] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785092776.954879584] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785092776.954971288] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785092776.961897805] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785092776.961982590] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785092776.968618952] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785092776.968681090] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785092776.980125097] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785092776.980207266] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785092776.988405791] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785092776.988471645] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785092776.998086322] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785092776.998169749] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785092776.998183492] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785092777.007975827] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785092777.008075538] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785092777.016029212] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785092777.016113197] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785092777.026521656] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785092777.026579642] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785092777.043936373] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785092777.044028372] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785092777.056938073] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785092777.057053084] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785092777.079052806] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785092777.079165105] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785092777.102400908] [mavros.mavros]: Plugin global_position created
