[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-05-01-03-093894-DESKTOP-Kilogram-693
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [730]
[mavros_node-1] [INFO] [1785096063.320886971] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785096063.320982595] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785096063.320991197] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785096063.320995095] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785096063.320998605] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785096063.331200509] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785096063.331251886] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785096063.331263944] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785096063.331268218] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785096063.331300241] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785096063.369562508] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785096063.369611080] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785096063.369902901] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785096063.369918744] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785096063.369929675] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785096063.372917995] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785096063.379492706] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785096063.400906915] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785096063.400973069] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785096063.426292354] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785096063.426365449] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785096063.431731133] [mavros.mavros]: Plugin altitude created
