[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-05-09-03-002333-DESKTOP-Kilogram-693
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [722]
[mavros_node-1] [INFO] [1785096543.245067413] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785096543.245172135] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785096543.245180968] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785096543.245186024] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785096543.245190103] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785096543.256895046] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785096543.256953165] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785096543.256966860] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785096543.256971757] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785096543.257013261] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785096543.304040231] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785096543.304100633] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785096543.304443667] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785096543.304463321] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785096543.304478807] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785096543.308481468] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785096543.313653948] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785096543.337962258] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785096543.338041949] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785096543.365852797] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785096543.365924766] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785096543.371535203] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785096543.371598857] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785096543.377122673] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785096543.377178516] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785096543.382851544] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785096543.382905668] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785096543.388890803] [mavros.mavros]: Plugin cellular_status created
