[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-02-42-20-910620-DESKTOP-Kilogram-678
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [715]
[mavros_node-1] [INFO] [1785087741.115605737] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785087741.115709146] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785087741.115717097] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785087741.115720915] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785087741.115724255] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785087741.127382429] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785087741.127429158] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785087741.127439586] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785087741.127443092] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785087741.127477133] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785087741.170138030] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785087741.170186753] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785087741.170480365] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785087741.170498801] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785087741.170513186] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785087741.173768968] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785087741.179603064] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785087741.202973578] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785087741.203035050] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785087741.229262110] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785087741.229335296] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785087741.234556465] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785087741.234624443] [mavros.mavros]: Plugin altitude initialized
