[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-05-39-29-448821-DESKTOP-Kilogram-693
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [722]
[mavros_node-1] [INFO] [1785098369.702338007] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785098369.702448893] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785098369.702458277] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785098369.702462845] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785098369.702467103] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785098369.714415718] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785098369.714468609] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785098369.714480956] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785098369.714485529] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785098369.714521226] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785098369.764492000] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785098369.764557692] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785098369.764935640] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785098369.764957856] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785098369.764975293] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785098369.768932948] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785098369.774417528] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785098369.801270820] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785098369.801348750] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785098369.829817464] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785098369.829888656] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785098369.835655117] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785098369.835721592] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785098369.840827744] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785098369.840886376] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785098369.846696178] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785098369.846761803] [mavros.mavros]: Plugin camera initialized
