[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-06-20-17-228720-DESKTOP-Kilogram-678
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [709]
[mavros_node-1] [INFO] [1785100817.481440659] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785100817.481538684] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785100817.481545940] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785100817.481550087] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785100817.481553483] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785100817.493513015] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785100817.493568604] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785100817.493581602] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785100817.493586247] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785100817.493624495] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785100817.543856528] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785100817.543911298] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785100817.544228785] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785100817.544260263] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785100817.544278966] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785100817.547391787] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785100817.554603086] [mavros.mavros]: UAS Executor started, threads: 8
