[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-06-26-11-353959-DESKTOP-Kilogram-672
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [701]
[mavros_node-1] [INFO] [1785101171.587978279] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785101171.588111882] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785101171.588124568] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785101171.588130906] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785101171.588136577] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785101171.599636649] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785101171.599690710] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785101171.599702858] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785101171.599707100] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785101171.599743255] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785101171.642871165] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785101171.642930245] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785101171.643236226] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785101171.643254161] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785101171.643267295] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785101171.646554554] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785101171.652878191] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785101171.676112889] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785101171.676180940] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785101171.707038566] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785101171.707107173] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785101171.713933562] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785101171.714020305] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785101171.721551819] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785101171.721631820] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785101171.728131273] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785101171.728214100] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785101171.735237047] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785101171.735304050] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785101171.747181564] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785101171.747268272] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785101171.754753854] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785101171.754823656] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785101171.763602149] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785101171.763677679] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785101171.763689866] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785101171.771920511] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785101171.772000240] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785101171.779889086] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785101171.779966756] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785101171.789585270] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785101171.789637518] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785101171.803744750] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785101171.803816547] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785101171.814322005] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785101171.814406466] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785101171.829270244] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785101171.829352184] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785101171.846771724] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785101171.846861922] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785101171.855128738] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785101171.855190500] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785101171.865196380] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785101171.865264553] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785101171.875199930] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785101171.875278605] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785101171.885160466] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785101171.885217675] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785101171.899483279] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785101171.899567051] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785101171.912416915] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785101171.912488562] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785101171.926762904] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785101171.926846736] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785101171.941986824] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785101171.942199445] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785101171.959120791] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785101171.959238747] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785101171.976205482] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785101171.976296018] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785101171.993504574] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785101171.993578399] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785101172.010117004] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785101172.010205974] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785101172.022456922] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785101172.022578098] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785101172.036742127] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785101172.036913356] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785101172.055290351] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785101172.055384123] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785101172.067819050] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785101172.068327331] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785101172.081618753] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785101172.081705236] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785101172.099671225] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785101172.099756978] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785101172.118163627] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785101172.118250650] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785101172.136837222] [mavros.mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1785101172.136899941] [mavros.mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1785101172.155706105] [mavros.mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1785101172.155779921] [mavros.mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1785101172.173194116] [mavros.mavros]: Plugin param created
[mavros_node-1] [INFO] [1785101172.173280445] [mavros.mavros]: Plugin param initialized
[mavros_node-1] [INFO] [1785101172.191475328] [mavros.mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1785101172.191624247] [mavros.mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1785101172.212583170] [mavros.mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1785101172.212654097] [mavros.mavros]: Plugin px4flow initialized
[mavros_node-1] [INFO] [1785101172.237992036] [mavros.mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1785101172.238086170] [mavros.mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1785101172.238098847] [mavros.mavros]: Plugin rangefinder ignored
[mavros_node-1] [INFO] [1785101172.257241678] [mavros.mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1785101172.257336312] [mavros.mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1785101172.273664153] [mavros.mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1785101172.273734773] [mavros.mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1785101172.293339666] [mavros.mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1785101172.293398175] [mavros.mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1785101172.316403989] [mavros.mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1785101172.316476553] [mavros.mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1785101172.341285893] [mavros.mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1785101172.341358142] [mavros.mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1785101172.366277667] [mavros.mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1785101172.366346185] [mavros.mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1785101172.384462706] [mavros.mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1785101172.384523700] [mavros.mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1785101172.407500356] [mavros.mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1785101172.407703103] [mavros.mavros]: Plugin sim_state initialized
