[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-06-33-28-189608-DESKTOP-Kilogram-679
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [719]
[mavros_node-1] [INFO] [1785101608.454977414] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785101608.455096531] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785101608.455107496] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785101608.455112561] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785101608.455117114] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785101608.463725045] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785101608.463777282] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785101608.463792360] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785101608.463798170] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785101608.463839049] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785101608.490723850] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785101608.490791688] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785101608.491241268] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785101608.491272915] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785101608.491294919] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785101608.492892603] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785101608.501084709] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785101608.515520670] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785101608.515596015] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785101608.532505433] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785101608.532568695] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785101608.538901933] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785101608.538974896] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785101608.545463415] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785101608.545533062] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785101608.551443241] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785101608.551515909] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785101608.557466672] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785101608.557530867] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785101608.568978763] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785101608.569054960] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785101608.576424804] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785101608.576465416] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785101608.586072192] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785101608.586173659] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785101608.586188404] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785101608.594256012] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785101608.594363906] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785101608.602820461] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785101608.602912730] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785101608.612495822] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785101608.612579564] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785101608.628467543] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785101608.628555407] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785101608.639475658] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785101608.639561715] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785101608.654997686] [mavros.mavros]: Plugin gimbal_control created
