[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-06-54-08-067661-DESKTOP-Kilogram-683
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [710]
[mavros_node-1] [INFO] [1785102848.244871996] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785102848.244968945] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785102848.244978074] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785102848.244984887] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785102848.244991662] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785102848.254263747] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785102848.254326136] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785102848.254341618] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785102848.254347140] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785102848.254387016] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785102848.279059426] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785102848.279150483] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785102848.280143097] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785102848.280196871] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785102848.280220504] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785102848.281841490] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785102848.289224024] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785102848.302950099] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785102848.303023976] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785102848.319582882] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785102848.319647984] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785102848.324365029] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785102848.324405114] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785102848.329604441] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785102848.329662490] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785102848.335041845] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785102848.335107865] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785102848.341043476] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785102848.341101717] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785102848.352512331] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785102848.352582536] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785102848.359219673] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785102848.359271660] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785102848.367322700] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785102848.367390885] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785102848.367402523] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785102848.375038853] [mavros.mavros]: Plugin esc_status created
