[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-27-06-49-48-890071-DESKTOP-Kilogram-793
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [802]
[mavros_node-1] [INFO] [1785102589.065900889] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785102589.066012822] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785102589.066021446] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785102589.066025668] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785102589.066029267] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785102589.071858147] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785102589.071915990] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785102589.071987709] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785102589.072017218] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785102589.072065968] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785102589.094216034] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785102589.094275546] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785102589.094617758] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785102589.094636912] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785102589.094650528] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785102589.095931972] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785102589.104801025] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785102589.116761997] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785102589.116827206] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785102589.132922501] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785102589.132989571] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785102589.138312329] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785102589.138367051] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785102589.143276574] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785102589.143328427] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785102589.148824778] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785102589.148880460] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785102589.154367557] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785102589.154414632] [mavros.mavros]: Plugin cellular_status initialized
