[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-28-02-11-44-116085-DESKTOP-Kilogram-3635
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [3663]
[mavros_node-1] [INFO] [1785172304.301223732] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785172304.301862700] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785172304.302161628] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785172304.302349143] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785172304.302522687] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785172304.308953864] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785172304.309007068] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785172304.309023084] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785172304.309029412] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785172304.309071584] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785172304.333491682] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785172304.333544850] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785172304.333861680] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785172304.333885527] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785172304.333903398] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785172304.335310711] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785172304.343917952] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785172304.356048514] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785172304.356470730] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785172304.371797790] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785172304.371859047] [mavros.mavros]: Plugin adsb initialized
