[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-28-02-05-40-165710-DESKTOP-Kilogram-690
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [721]
[mavros_node-1] [INFO] [1785171940.394335234] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785171940.394430673] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785171940.394438359] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785171940.394441917] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785171940.394446647] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785171940.404620457] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785171940.404676354] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785171940.404688333] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785171940.404691988] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785171940.404720533] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785171940.448381327] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785171940.448446017] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785171940.448756034] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785171940.448772822] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785171940.448784117] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785171940.452202291] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785171940.458387569] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785171940.485745060] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785171940.485813584] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785171940.513085519] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785171940.513191735] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785171940.518945516] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785171940.519010895] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785171940.524086977] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785171940.524136577] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785171940.529011212] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785171940.529071405] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785171940.534341029] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785171940.534427841] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785171940.544266341] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785171940.544336480] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785171940.550660432] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785171940.550717645] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785171940.557713161] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785171940.557774787] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785171940.557784800] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785171940.564768997] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785171940.564846952] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785171940.572054085] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785171940.572133669] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785171940.579890177] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785171940.579947070] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785171940.592022985] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785171940.592089581] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785171940.600771577] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785171940.600836039] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785171940.614058243] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785171940.614136826] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785171940.628852276] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785171940.628932610] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785171940.636226612] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785171940.636297276] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785171940.644257479] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785171940.644349039] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785171940.653078405] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785171940.653140793] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785171940.661794428] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785171940.661876342] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785171940.672697198] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785171940.672761638] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785171940.681676925] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785171940.681732460] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785171940.693710089] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785171940.693872209] [mavros.mavros]: Plugin imu initialized
