[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-28-02-01-29-373330-DESKTOP-Kilogram-817
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [852]
[mavros_node-1] [INFO] [1785171689.612728637] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785171689.612816706] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785171689.612824120] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785171689.612827617] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785171689.612830563] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785171689.622896123] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785171689.622941844] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785171689.622953946] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785171689.622957741] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785171689.622986027] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785171689.665978332] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785171689.666028871] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785171689.666332405] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785171689.666351433] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785171689.666363422] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785171689.670497990] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785171689.675877124] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785171689.699961955] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785171689.700043935] [mavros.mavros]: Plugin actuator_control initialized
