name,type,value,index,raw_float
ASPD_DO_CHECKS,INT32,7,0,9.80908925027372e-45
ASPD_FALLBACK,INT32,0,1,0.0
ASPD_FP_T_WINDOW,REAL32,2.0,2,2.0
ASPD_FS_INNOV,REAL32,5.0,3,5.0
ASPD_FS_INTEG,REAL32,10.0,4,10.0
ASPD_FS_T_START,REAL32,-1.0,5,-1.0
ASPD_FS_T_STOP,REAL32,1.0,6,1.0
ASPD_PRIMARY,INT32,1,7,1.401298464324817e-45
ASPD_SCALE_1,REAL32,1.0,8,1.0
ASPD_SCALE_2,REAL32,1.0,9,1.0
ASPD_SCALE_3,REAL32,1.0,10,1.0
ASPD_SCALE_APPLY,INT32,2,11,2.802596928649634e-45
ASPD_TAS_NOISE,REAL32,1.399999976158142,12,1.399999976158142
ASPD_WERR_THR,REAL32,2.0,13,2.0
ASPD_WIND_NSD,REAL32,0.10000000149011612,14,0.10000000149011612
BAT1_A_PER_V,REAL32,36.367515563964844,15,36.367515563964844
BAT1_CAPACITY,REAL32,-1.0,16,-1.0
BAT1_I_FILT,REAL32,0.0,17,0.0
BAT1_I_OVERWRITE,REAL32,0.0,18,0.0
BAT1_N_CELLS,INT32,4,19,5.605193857299268e-45
BAT1_R_INTERNAL,REAL32,-1.0,20,-1.0
BAT1_SOURCE,INT32,0,21,0.0
BAT1_V_CHANNEL,INT32,-1,22,nan
BAT1_V_CHARGED,REAL32,4.199999809265137,23,4.199999809265137
BAT1_V_DIV,REAL32,18.100000381469727,24,18.100000381469727
BAT1_V_EMPTY,REAL32,3.5999999046325684,25,3.5999999046325684
BAT1_V_FILT,REAL32,0.0,26,0.0
BAT2_A_PER_V,REAL32,36.367515563964844,27,36.367515563964844
BAT2_CAPACITY,REAL32,-1.0,28,-1.0
BAT2_I_FILT,REAL32,0.0,29,0.0
BAT2_I_OVERWRITE,REAL32,0.0,30,0.0
BAT2_N_CELLS,INT32,0,31,0.0
BAT2_R_INTERNAL,REAL32,-1.0,32,-1.0
BAT2_SOURCE,INT32,-1,33,nan
BAT2_V_CHANNEL,INT32,-1,34,nan
BAT2_V_CHARGED,REAL32,4.050000190734863,35,4.050000190734863
BAT2_V_DIV,REAL32,18.100000381469727,36,18.100000381469727
BAT2_V_EMPTY,REAL32,3.5999999046325684,37,3.5999999046325684
BAT2_V_FILT,REAL32,0.0,38,0.0
BAT_AVRG_CURRENT,REAL32,15.0,39,15.0
BAT_CRIT_THR,REAL32,0.07000000029802322,40,0.07000000029802322
BAT_EMERGEN_THR,REAL32,0.05000000074505806,41,0.05000000074505806
BAT_LOW_THR,REAL32,0.15000000596046448,42,0.15000000596046448
BAT_V_OFFS_CURR,REAL32,0.0,43,0.0
BMM350_AVG,INT32,1,44,1.401298464324817e-45
BMM350_DRIVE,INT32,7,45,9.80908925027372e-45
BMM350_ODR,INT32,3,46,4.203895392974451e-45
CAL_ACC0_ID,INT32,4259850,47,5.969321263254072e-39
CAL_ACC0_PRIO,INT32,50,48,7.006492321624085e-44
CAL_ACC0_ROT,INT32,-1,49,nan
CAL_ACC0_XOFF,REAL32,-0.13060568273067474,50,-0.13060568273067474
CAL_ACC0_XSCALE,REAL32,0.9781705737113953,51,0.9781705737113953
CAL_ACC0_YOFF,REAL32,0.007096715271472931,52,0.007096715271472931
CAL_ACC0_YSCALE,REAL32,0.9825758934020996,53,0.9825758934020996
CAL_ACC0_ZOFF,REAL32,0.13777536153793335,54,0.13777536153793335
CAL_ACC0_ZSCALE,REAL32,0.9775566458702087,55,0.9775566458702087
CAL_ACC1_ID,INT32,2490378,56,3.489762866988309e-39
CAL_ACC1_PRIO,INT32,50,57,7.006492321624085e-44
CAL_ACC1_ROT,INT32,-1,58,nan
CAL_ACC1_XOFF,REAL32,-0.0250278040766716,59,-0.0250278040766716
CAL_ACC1_XSCALE,REAL32,1.0,60,1.0
CAL_ACC1_YOFF,REAL32,-0.004193175584077835,61,-0.004193175584077835
