[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-28-00-30-19-116283-DESKTOP-Kilogram-691
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [726]
[mavros_node-1] [INFO] [1785166219.341159264] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785166219.341254755] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785166219.341262879] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785166219.341266716] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785166219.341269938] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785166219.361266184] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785166219.361343417] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785166219.361357370] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785166219.361361945] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785166219.361401925] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785166219.405048072] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785166219.405102148] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785166219.405421650] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785166219.405442823] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785166219.405454999] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785166219.408744452] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785166219.415080204] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785166219.438056666] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785166219.438128061] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785166219.465093375] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785166219.465163400] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785166219.470501417] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785166219.470555769] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785166219.475683275] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785166219.475739039] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785166219.480596850] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785166219.480646848] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785166219.486320092] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785166219.486382744] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785166219.496683962] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785166219.496743119] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785166219.502995434] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785166219.503057222] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785166219.510914676] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785166219.510989875] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785166219.511001928] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785166219.518306979] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785166219.518376926] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785166219.525351148] [mavros.mavros]: Plugin esc_telemetry created
