[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-28-00-27-35-041258-DESKTOP-Kilogram-690
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [720]
[mavros_node-1] [INFO] [1785166055.258310704] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785166055.259097053] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785166055.259465715] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785166055.259712377] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785166055.259971970] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785166055.271479014] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785166055.271537510] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785166055.271550765] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785166055.271555728] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785166055.271599094] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785166055.326009775] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785166055.326068727] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785166055.326428437] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785166055.326453948] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785166055.326473514] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785166055.330992272] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785166055.336064960] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785166055.360828567] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785166055.360908214] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785166055.388914729] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785166055.388985388] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785166055.394318416] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785166055.394377800] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785166055.399381764] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785166055.399435669] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785166055.404710555] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785166055.404773272] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785166055.410313659] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785166055.410362510] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785166055.420453801] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785166055.420525237] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785166055.427262661] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785166055.427328760] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785166055.435857451] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785166055.435942555] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785166055.435955232] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785166055.444594350] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785166055.444677725] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785166055.452419603] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785166055.452478804] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785166055.462930927] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785166055.462990072] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785166055.477514400] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785166055.477588927] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785166055.487854266] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785166055.487937511] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785166055.502864805] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785166055.502943681] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785166055.520393956] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785166055.520480389] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785166055.529032092] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785166055.529093516] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785166055.538671770] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785166055.538732252] [mavros.mavros]: Plugin gps_rtk initialized
