| 경로 | v_cruise | 경로점 | 전장(m) | ref=20 대비 최대괴리(m) | 평균괴리(m) |
|---|---|---|---|---|---|
| A3_L | 20 (기준) | 415 | 400.02 | — | — |
| A3_L | 15 | 404 | 405.59 | **15.068** | 9.290 |
| A3_L | 16 | 404 | 405.58 | **15.063** | 9.286 |
| A3_L | 17 | 415 | 400.03 | **0.125** | 0.017 |
| A3_L | 18 | 415 | 400.02 | **0.229** | 0.019 |
| B5_square | 20 (기준) | 811 | 780.06 | — | — |
| B5_square | 15 | 798 | 788.97 | **24.442** | 6.487 |
| B5_square | 16 | 794 | 786.74 | **21.112** | 5.335 |
| B5_square | 17 | 811 | 780.09 | **0.229** | 0.025 |
| B5_square | 18 | 811 | 780.06 | **0.225** | 0.023 |
| R2_closed | 20 (기준) | 827 | 800.07 | — | — |
| R2_closed | 15 | 822 | 812.68 | **30.696** | 8.766 |
| R2_closed | 16 | 816 | 809.42 | **26.389** | 7.138 |
| R2_closed | 17 | 827 | 800.10 | **0.125** | 0.025 |
| R2_closed | 18 | 827 | 800.06 | **0.222** | 0.025 |
=== DONE ===
