[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-04-29-59-885587-DESKTOP-Kilogram-986
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1031]
[mavros_node-1] [INFO] [1785267000.098842439] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785267000.098924807] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267000.098932062] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785267000.098935707] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785267000.098938591] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785267000.108396792] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785267000.108438518] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785267000.108449067] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785267000.108452502] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785267000.108478939] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785267000.153275451] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267000.153328038] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785267000.154019975] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785267000.154053627] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785267000.154066314] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785267000.157416380] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785267000.162933918] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785267000.185889610] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785267000.185973504] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785267000.212849838] [mavros.mavros]: Plugin adsb created
