[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-04-33-35-989553-DESKTOP-Kilogram-2839
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [2849]
[mavros_node-1] [INFO] [1785267216.111161753] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785267216.111248827] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267216.111256481] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785267216.111260640] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785267216.111263768] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785267216.118342924] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785267216.118402415] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785267216.118418465] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785267216.118424035] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785267216.118465189] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785267216.137923355] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267216.137982081] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785267216.138313901] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785267216.138330906] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785267216.138342544] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785267216.139447594] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785267216.147744829] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785267216.159226497] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785267216.159294601] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785267216.173338200] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785267216.173396043] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785267216.178395136] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785267216.178449585] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785267216.183043386] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785267216.183094701] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785267216.187945014] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785267216.187999628] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785267216.192854219] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785267216.192904826] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785267216.202498879] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785267216.202568599] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785267216.207951903] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785267216.207998189] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785267216.214769059] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785267216.214827510] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785267216.214836926] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785267216.220870913] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785267216.220926206] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785267216.226643636] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785267216.226696482] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785267216.233849895] [mavros.mavros]: Plugin fake_gps created
