[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-04-37-43-857676-DESKTOP-Kilogram-4887
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [4904]
[mavros_node-1] [INFO] [1785267463.995455322] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785267463.995545908] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267463.995553324] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785267463.995556630] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785267463.995559739] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785267464.001533026] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785267464.001575349] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785267464.001585951] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785267464.001589883] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785267464.001616339] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785267464.020514201] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785267464.020568540] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785267464.021064148] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785267464.021098233] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785267464.021111691] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785267464.022362883] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785267464.030360827] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785267464.041792895] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785267464.041851988] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785267464.056528295] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785267464.056588463] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785267464.061856026] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785267464.061923982] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785267464.067067305] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785267464.067126052] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785267464.072529346] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785267464.072597249] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785267464.077847270] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785267464.077896403] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785267464.087241004] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785267464.087302889] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785267464.093519313] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785267464.093582036] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785267464.100652703] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785267464.100724904] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785267464.100737397] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785267464.107782522] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785267464.107864508] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785267464.114975848] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785267464.115040831] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785267464.122126587] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785267464.122172369] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785267464.133344139] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785267464.133407523] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785267464.142025674] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785267464.142106362] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785267464.155145610] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785267464.155215537] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785267464.167147379] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785267464.167226988] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785267464.176565208] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785267464.176634479] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785267464.184714369] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785267464.184795501] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785267464.194751659] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785267464.194823438] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785267464.203163530] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785267464.203216863] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785267464.213431235] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785267464.213507340] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785267464.223135654] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785267464.223207962] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785267464.235185144] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785267464.235259097] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785267464.246658350] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785267464.246745311] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785267464.259753314] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785267464.259818807] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785267464.273555743] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785267464.273636740] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785267464.283681314] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785267464.283768995] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785267464.294655635] [mavros.mavros]: Plugin manual_control created
