[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-18-52-106678-DESKTOP-Kilogram-3539
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [3548]
[mavros_node-1] [INFO] [1785291532.561281530] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785291532.561382620] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785291532.561390905] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785291532.561394788] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785291532.561398228] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785291532.568144784] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785291532.568220665] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785291532.568250319] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785291532.568254548] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785291532.568295968] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785291532.588843394] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785291532.588893174] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785291532.589207828] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785291532.589224371] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785291532.589235699] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785291532.590765745] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785291532.599271622] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785291532.612603441] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785291532.612721776] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785291532.627977215] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785291532.628057737] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785291532.634336134] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785291532.634413610] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785291532.640375777] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785291532.640470269] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785291532.646137766] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785291532.646205863] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785291532.652399489] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785291532.652462068] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785291532.664458475] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785291532.664533526] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785291532.672529068] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785291532.672658037] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785291532.682579199] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785291532.682658274] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785291532.682669043] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785291532.691060427] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785291532.691134084] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785291532.699975360] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785291532.700069249] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785291532.711014941] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785291532.711100579] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785291532.727004239] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785291532.727083347] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785291532.737616046] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785291532.737722948] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785291532.752619060] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785291532.752703595] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785291532.767443979] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785291532.767771169] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785291532.779536817] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785291532.779598894] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785291532.788462533] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785291532.788514915] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785291532.797419485] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785291532.797490839] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785291532.806090332] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785291532.806168243] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785291532.816676603] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785291532.816742861] [mavros.mavros]: Plugin hil initialized
