[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-43-57-394579-DESKTOP-Kilogram-18585
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [18595]
[mavros_node-1] [INFO] [1785293037.525480286] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785293037.525584459] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785293037.525591957] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785293037.525595331] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785293037.525598263] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785293037.530569560] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785293037.530633872] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785293037.530647394] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785293037.530652670] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785293037.530692439] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785293037.556763025] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785293037.556834084] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785293037.557920170] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785293037.557952599] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785293037.557972529] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785293037.559554914] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785293037.566827163] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785293037.579179188] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785293037.579271366] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785293037.594673187] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785293037.594741927] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785293037.600166595] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785293037.600236245] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785293037.605462992] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785293037.605524066] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785293037.610779704] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785293037.610832395] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785293037.615897211] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785293037.615944042] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785293037.624632732] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785293037.624698237] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785293037.630196874] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785293037.630239210] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785293037.636753654] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785293037.636812835] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785293037.636822590] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785293037.643156370] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785293037.643219656] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785293037.649409253] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785293037.649491381] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785293037.656730421] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785293037.656777770] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785293037.667976134] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785293037.668036449] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785293037.675715738] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785293037.675779661] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785293037.687135745] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785293037.687207939] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785293037.698969971] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785293037.699038959] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785293037.706427357] [mavros.mavros]: Plugin gps_input created
