[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-15-33-45-319739-DESKTOP-Kilogram-11384
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [11419]
[mavros_node-1] [INFO] [1785306825.483912894] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785306825.483981397] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785306825.483989955] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785306825.483995409] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785306825.484000182] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785306825.489088170] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785306825.489111759] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785306825.489123447] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785306825.489129224] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785306825.489163861] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785306825.518941503] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785306825.518995628] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785306825.519732194] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785306825.520092302] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785306825.520126431] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785306825.521549421] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785306825.528644215] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785306825.541470107] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785306825.541540736] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785306825.560070992] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785306825.560128043] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785306825.565729014] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785306825.565790067] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785306825.571812421] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785306825.571870144] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785306825.578211720] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785306825.578273334] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785306825.584478427] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785306825.584537196] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785306825.594925375] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785306825.594975878] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785306825.601155311] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785306825.601210132] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785306825.609448956] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785306825.609510942] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785306825.609520768] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785306825.616225341] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785306825.616284565] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785306825.622515166] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785306825.622574287] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785306825.630127995] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785306825.630207625] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785306825.642571129] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785306825.642632330] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785306825.652526013] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785306825.652599494] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785306825.666210258] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785306825.666285411] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785306825.678991830] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785306825.679063171] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785306825.686684969] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785306825.686753249] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785306825.694921090] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785306825.694973871] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785306825.704640550] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785306825.704709707] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785306825.713606447] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785306825.713699893] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785306825.724596176] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785306825.724668735] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785306825.734266195] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785306825.734315696] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785306825.746009339] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785306825.746083396] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785306825.756706736] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785306825.756765012] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785306825.769800376] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785306825.769861210] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785306825.782903371] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785306825.782974821] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785306825.794834932] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785306825.794897583] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785306825.805407730] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785306825.805469519] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785306825.816537043] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785306825.816612321] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785306825.830762043] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785306825.830828764] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785306825.843344972] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785306825.843404769] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785306825.854989514] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785306825.855061738] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785306825.866116929] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785306825.866176000] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785306825.879126975] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785306825.879186231] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785306825.892930855] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785306825.893002249] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785306825.911705587] [mavros.mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1785306825.911784250] [mavros.mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1785306825.926677521] [mavros.mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1785306825.926760670] [mavros.mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1785306825.941070989] [mavros.mavros]: Plugin param created
[mavros_node-1] [INFO] [1785306825.941140532] [mavros.mavros]: Plugin param initialized
[mavros_node-1] [INFO] [1785306825.954069864] [mavros.mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1785306825.954123970] [mavros.mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1785306825.969263216] [mavros.mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1785306825.969315320] [mavros.mavros]: Plugin px4flow initialized
[mavros_node-1] [INFO] [1785306825.985588939] [mavros.mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1785306825.985650941] [mavros.mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1785306825.985658064] [mavros.mavros]: Plugin rangefinder ignored
[mavros_node-1] [INFO] [1785306826.000847166] [mavros.mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1785306826.000944184] [mavros.mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1785306826.015799092] [mavros.mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1785306826.015856127] [mavros.mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1785306826.033742859] [mavros.mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1785306826.033796128] [mavros.mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1785306826.051103844] [mavros.mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1785306826.051232202] [mavros.mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1785306826.072105661] [mavros.mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1785306826.072188759] [mavros.mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1785306826.091963332] [mavros.mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1785306826.092015656] [mavros.mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1785306826.111902046] [mavros.mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1785306826.111959169] [mavros.mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1785306826.131507298] [mavros.mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1785306826.131612393] [mavros.mavros]: Plugin sim_state initialized
[mavros_node-1] [INFO] [1785306826.158747512] [mavros.mavros]: Plugin sys_status created
[mavros_node-1] [INFO] [1785306826.158849836] [mavros.mavros]: Plugin sys_status initialized
[mavros_node-1] [INFO] [1785306826.176263221] [mavros.time]: TM: Timesync mode: MAVLINK
[mavros_node-1] [INFO] [1785306826.181542019] [mavros.mavros]: Plugin sys_time created
[mavros_node-1] [INFO] [1785306826.181656180] [mavros.mavros]: Plugin sys_time initialized
[mavros_node-1] [INFO] [1785306826.199438658] [mavros.mavros]: Plugin tdr_radio created
[mavros_node-1] [INFO] [1785306826.199523663] [mavros.mavros]: Plugin tdr_radio initialized
[mavros_node-1] [INFO] [1785306826.217983184] [mavros.mavros]: Plugin terrain created
[mavros_node-1] [INFO] [1785306826.218064717] [mavros.mavros]: Plugin terrain initialized
[mavros_node-1] [INFO] [1785306826.238419628] [mavros.mavros]: Plugin trajectory created
[mavros_node-1] [INFO] [1785306826.238510200] [mavros.mavros]: Plugin trajectory initialized
[mavros_node-1] [INFO] [1785306826.257804837] [mavros.mavros]: Plugin tunnel created
[mavros_node-1] [INFO] [1785306826.257871552] [mavros.mavros]: Plugin tunnel initialized
[mavros_node-1] [INFO] [1785306826.277193678] [mavros.mavros]: Plugin vfr_hud created
[mavros_node-1] [INFO] [1785306826.277245391] [mavros.mavros]: Plugin vfr_hud initialized
[mavros_node-1] [INFO] [1785306826.277252485] [mavros.mavros]: Plugin vibration ignored
[mavros_node-1] [INFO] [1785306826.299654669] [mavros.mavros]: Plugin vision_pose created
[mavros_node-1] [INFO] [1785306826.299722291] [mavros.mavros]: Plugin vision_pose initialized
