[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-15-57-27-204128-DESKTOP-Kilogram-13094
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [13123]
[mavros_node-1] [INFO] [1785308249.934823300] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785308249.934918192] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785308249.934925814] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785308249.934930493] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785308249.934934674] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785308249.941996115] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785308249.942042099] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785308249.942053373] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785308249.942058284] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785308249.942084962] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785308249.967248514] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785308249.967295140] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785308249.967585397] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785308249.967601237] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785308249.967612710] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785308249.968721525] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785308249.976915757] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785308249.988434961] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785308249.988496665] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785308250.003296010] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785308250.003360902] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785308250.008613112] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785308250.008668416] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785308250.013624470] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785308250.013677427] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785308250.018444563] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785308250.018506247] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785308250.023975395] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785308250.024023531] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785308250.034574875] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785308250.034634853] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785308250.040644275] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785308250.040699026] [mavros.mavros]: Plugin companion_process_status initialized
