[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-15-22-12-742436-DESKTOP-Kilogram-5474
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [5501]
[mavros_node-1] [INFO] [1785306132.944365840] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785306132.944868529] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785306132.945109043] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785306132.945293508] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785306132.945713421] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785306132.954687575] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785306132.955298195] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785306132.955577780] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785306132.955764544] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785306132.955980762] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785306132.984568401] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785306132.984661256] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785306132.985182386] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785306132.985249841] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785306132.985274888] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785306132.988017637] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785306133.002781326] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785306133.012100990] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785306133.012263832] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785306133.033741725] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785306133.033822825] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785306133.041028226] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785306133.041118457] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785306133.049361691] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785306133.049439727] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785306133.057480448] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785306133.057561378] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785306133.065649508] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785306133.065729162] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785306133.080638247] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785306133.080726688] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785306133.089404276] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785306133.089465539] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785306133.100983843] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785306133.101102556] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785306133.101119482] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785306133.111113751] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785306133.111200726] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785306133.121295741] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785306133.121406716] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785306133.132600313] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785306133.132657499] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785306133.150485891] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785306133.150563174] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785306133.163760446] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785306133.163855291] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785306133.182035928] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785306133.182130877] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785306133.201114728] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785306133.201226832] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785306133.213003858] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785306133.213066678] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785306133.224935575] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785306133.225028933] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785306133.237736559] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785306133.237825722] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785306133.251808316] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785306133.251883060] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785306133.267412280] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785306133.267512381] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785306133.282466815] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785306133.282546205] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785306133.300232233] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785306133.300341014] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785306133.319788562] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785306133.319867219] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785306133.342242538] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785306133.342329076] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785306133.364341501] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785306133.364461651] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785306133.383774857] [mavros.mavros]: Plugin mag_calibration_status created
