[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-03-32-42-209719-DESKTOP-Kilogram-967
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [977]
[mavros_node-1] [INFO] [1785263562.377764512] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785263562.377869567] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785263562.377876739] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785263562.377880205] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785263562.377883337] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785263562.387339211] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785263562.387387468] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785263562.387398837] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785263562.387402368] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785263562.387429469] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785263562.433180439] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785263562.433241096] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785263562.433610075] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785263562.433633341] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785263562.433662128] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785263562.437575519] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785263562.442927674] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785263562.465725857] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785263562.465791525] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785263562.495225428] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785263562.495287013] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785263562.501312359] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785263562.501402315] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785263562.506735970] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785263562.506806626] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785263562.512058060] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785263562.512131176] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785263562.517653164] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785263562.517742951] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785263562.526932691] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785263562.527013826] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785263562.532820631] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785263562.532870441] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785263562.540841922] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785263562.540909357] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785263562.540919481] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785263562.547681927] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785263562.547737013] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785263562.553445450] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785263562.553497439] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785263562.561437313] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785263562.561484561] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785263562.573465539] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785263562.573536590] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785263562.582329397] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785263562.582396424] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785263562.594905053] [mavros.mavros]: Plugin gimbal_control created
