### t=1785263554 i=1
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263561 i=2
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263566 i=3
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263572 i=4
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263577 i=5
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263585 i=6
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263590 i=7
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263596 i=8
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263602 i=9
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263608 i=10
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263615 i=11
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263621 i=12
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263626 i=13
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263632 i=14
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263638 i=15
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263644 i=16
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263651 i=17
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263657 i=18
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263663 i=19
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263668 i=20
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263674 i=21
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263680 i=22
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263688 i=23
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263694 i=24
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263700 i=25
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263706 i=26
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263713 i=27
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263720 i=28
Unknown topic '/vision/landing_setpoint'
Unknown topic '/vision/target_status'
### t=1785263726 i=29
