[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-03-36-01-560345-DESKTOP-Kilogram-990
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [999]
[mavros_node-1] [INFO] [1785263761.741023453] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785263761.741122073] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785263761.741129766] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785263761.741133682] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785263761.741136588] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785263761.752782461] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785263761.752840732] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785263761.752855329] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785263761.752862877] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785263761.752915159] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785263761.799137529] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785263761.799191359] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785263761.799579453] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785263761.799602909] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785263761.799615828] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785263761.803486130] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785263761.808974843] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785263761.838562948] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785263761.838632820] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785263761.869935720] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785263761.869997418] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785263761.875372405] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785263761.875429671] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785263761.880941544] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785263761.881005668] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785263761.886119450] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785263761.886178235] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785263761.891334654] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785263761.891390370] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785263761.901387220] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785263761.901453571] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785263761.907892720] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785263761.907948819] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785263761.916280987] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785263761.916353362] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785263761.916365219] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785263761.924197979] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785263761.924269972] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785263761.931180185] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785263761.931257803] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785263761.941517891] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785263761.941578031] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785263761.954185138] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785263761.954253587] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785263761.963366420] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785263761.963454149] [mavros.mavros]: Plugin geofence initialized
