[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-03-44-58-226760-DESKTOP-Kilogram-1017
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1026]
[mavros_node-1] [INFO] [1785264298.392469129] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785264298.392556574] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785264298.392563675] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785264298.392567173] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785264298.392570089] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785264298.402044740] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785264298.402088395] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785264298.402099778] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785264298.402103420] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785264298.402132427] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785264298.442193259] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785264298.442251330] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785264298.442602310] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785264298.442623476] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785264298.442636298] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785264298.445947180] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785264298.451986446] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785264298.478803361] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785264298.478884687] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785264298.511604030] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785264298.511676858] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785264298.518594544] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785264298.518676203] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785264298.525104087] [mavros.mavros]: Plugin cam_imu_sync created
