[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-03-51-51-595148-DESKTOP-Kilogram-998
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [1007]
[mavros_node-1] [INFO] [1785264712.052284376] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785264712.052529368] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785264712.052546948] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785264712.052554335] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785264712.052560819] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785264712.086180183] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785264712.086318993] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785264712.086350561] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785264712.086361526] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785264712.086467930] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785264712.199798465] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785264712.199937055] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785264712.201933643] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785264712.202058937] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785264712.202101688] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785264712.210009612] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785264712.255840390] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785264712.272114363] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785264712.272340825] [mavros.mavros]: Plugin actuator_control initialized
