[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-13-46-29-521473-DESKTOP-Kilogram-47830
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [47880]
[mavros_node-1] [INFO] [1785300389.712895419] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785300389.713016316] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785300389.713027487] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785300389.713033334] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785300389.713038794] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785300389.721794441] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785300389.721847730] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785300389.721859894] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785300389.721865638] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785300389.721897825] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785300389.745250592] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785300389.745303922] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785300389.745624888] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785300389.745643245] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785300389.745660409] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785300389.746980690] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785300389.754992417] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785300389.769070230] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785300389.769140283] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785300389.792183261] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785300389.792270237] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785300389.799441863] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785300389.799499847] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785300389.805547420] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785300389.805611170] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785300389.811813894] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785300389.811880293] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785300389.817959121] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785300389.818020436] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785300389.829077065] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785300389.829160090] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785300389.837014920] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785300389.837097710] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785300389.847063678] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785300389.847152023] [mavros.mavros]: Plugin debug_value initialized
