[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-13-05-02-124668-DESKTOP-Kilogram-25688
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [25720]
[mavros_node-1] [INFO] [1785297902.289060603] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785297902.289658008] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785297902.289898813] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785297902.290098832] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785297902.290276077] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785297902.295976369] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785297902.296758480] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785297902.297089252] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785297902.297299227] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785297902.297539712] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785297902.319352022] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785297902.319799019] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785297902.320342697] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785297902.320610215] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785297902.320768462] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785297902.322277377] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785297902.329461837] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785297902.342020097] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785297902.342086135] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785297902.357999485] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785297902.358061783] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785297902.362906276] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785297902.362961042] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785297902.368365769] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785297902.368438058] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785297902.375609141] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785297902.375673929] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785297902.383281622] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785297902.383343864] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785297902.393342128] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785297902.393425070] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785297902.399980363] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785297902.400044822] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785297902.407823409] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785297902.407897437] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785297902.407908901] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785297902.416023358] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785297902.416103531] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785297902.423482243] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785297902.423561167] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785297902.432939083] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785297902.433074312] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785297902.450536221] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785297902.450614426] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785297902.460135963] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785297902.460219331] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785297902.474203641] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785297902.474287234] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785297902.487385756] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785297902.487477421] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785297902.495522473] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785297902.495566448] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785297902.503775722] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785297902.503834733] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785297902.512618375] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785297902.512704882] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785297902.521304296] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785297902.521364033] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785297902.531374188] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785297902.531437869] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785297902.540900142] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785297902.540971883] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785297902.552816404] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785297902.552874677] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785297902.564549905] [mavros.mavros]: Plugin landing_target created
