[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-14-15-15-116775-DESKTOP-Kilogram-58866
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [58875]
[mavros_node-1] [INFO] [1785302115.249824955] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785302115.249901760] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785302115.249908505] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785302115.249911801] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785302115.249914634] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785302115.254003707] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785302115.254041571] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785302115.254052775] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785302115.254056485] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785302115.254081387] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785302115.272003157] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785302115.272074053] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785302115.272364151] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785302115.272380703] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785302115.272392352] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785302115.273407598] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785302115.281980716] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785302115.294481078] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785302115.294578439] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785302115.310068616] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785302115.310145958] [mavros.mavros]: Plugin adsb initialized
