[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-14-18-39-027291-DESKTOP-Kilogram-60497
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [60507]
[mavros_node-1] [INFO] [1785302319.167033049] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785302319.167142516] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785302319.167163863] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785302319.167167370] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785302319.167170338] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785302319.172327795] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785302319.172392388] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785302319.172404000] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785302319.172407987] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785302319.172449911] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785302319.191599819] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785302319.191671600] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785302319.191964247] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785302319.191981850] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785302319.191992921] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785302319.193094465] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785302319.201569877] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785302319.220896514] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785302319.220967932] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785302319.236840144] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785302319.236900807] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785302319.241734881] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785302319.241797230] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785302319.246526441] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785302319.246576513] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785302319.251440301] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785302319.251495412] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785302319.256105224] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785302319.256159056] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785302319.264622212] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785302319.264680410] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785302319.270138082] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785302319.270189089] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785302319.276293651] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785302319.276351333] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785302319.276360228] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785302319.282131791] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785302319.282184218] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785302319.288377228] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785302319.288474156] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785302319.295330135] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785302319.295373324] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785302319.306840196] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785302319.306926916] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785302319.314687719] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785302319.314761556] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785302319.326347261] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785302319.326419288] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785302319.338525953] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785302319.338602762] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785302319.345511539] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785302319.345582099] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785302319.353946223] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785302319.354028357] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785302319.363678039] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785302319.363751169] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785302319.372119719] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785302319.372173862] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785302319.383115049] [mavros.mavros]: Plugin hil created
