[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-13-42-43-321377-DESKTOP-Kilogram-45931
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [45940]
[mavros_node-1] [INFO] [1785300163.829456628] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785300163.829569393] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785300163.829578033] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785300163.829582151] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785300163.829585586] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785300163.843877780] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785300163.843944137] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785300163.843956414] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785300163.843960973] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785300163.843996735] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785300163.866968018] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785300163.867027114] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785300163.867445773] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785300163.867469010] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785300163.867488031] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785300163.869094952] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785300163.876412881] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785300163.890309380] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785300163.890393807] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785300163.909893552] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785300163.909978559] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785300163.915763430] [mavros.mavros]: Plugin altitude created
