[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-28-29-356454-DESKTOP-Kilogram-8289
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [8298]
[mavros_node-1] [INFO] [1785292109.501077523] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785292109.501266529] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785292109.501278192] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785292109.501283726] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785292109.501288287] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785292109.506821137] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785292109.506867585] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785292109.506879096] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785292109.506882891] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785292109.506910422] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785292109.525805389] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785292109.525856778] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785292109.526169873] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785292109.526188643] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785292109.526200601] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785292109.527336399] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785292109.535805024] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785292109.547207273] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785292109.547284614] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785292109.562899395] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785292109.562990462] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785292109.568395818] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785292109.568493274] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785292109.574123452] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785292109.574180233] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785292109.579701870] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785292109.579760107] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785292109.585082455] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785292109.585136874] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785292109.594835960] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785292109.594922344] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785292109.601135485] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785292109.601200180] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785292109.608552502] [mavros.mavros]: Plugin debug_value created
