[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-50-22-414582-DESKTOP-Kilogram-22154
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [22163]
[mavros_node-1] [INFO] [1785293422.547746944] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785293422.547858396] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785293422.547865992] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785293422.547869573] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785293422.547872674] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785293422.555115371] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785293422.555161859] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785293422.555172931] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785293422.555177011] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785293422.555205040] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785293422.574399444] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785293422.574470600] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785293422.574768758] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785293422.574788949] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785293422.574804125] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785293422.576067874] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785293422.584647235] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785293422.598376413] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785293422.598459747] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785293422.614904350] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785293422.614978277] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785293422.620643714] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785293422.620765851] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785293422.627196377] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785293422.627266569] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785293422.633296884] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785293422.633372122] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785293422.638950140] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785293422.639003980] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785293422.648353350] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785293422.648412476] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785293422.656123153] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785293422.656189051] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785293422.663116339] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785293422.663169289] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785293422.663175656] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785293422.669782685] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785293422.669840541] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785293422.676099793] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785293422.676146807] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785293422.683076104] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785293422.683133186] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785293422.694272486] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785293422.694342535] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785293422.702843562] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785293422.702953506] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785293422.715338749] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785293422.715413590] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785293422.727985658] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785293422.728062135] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785293422.736376738] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785293422.736430646] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785293422.744907843] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785293422.744966087] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785293422.753759357] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785293422.753833925] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785293422.762067217] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785293422.762124632] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785293422.772792810] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785293422.772865142] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785293422.782908958] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785293422.782985055] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785293422.794847605] [mavros.mavros]: Plugin imu created
[mavros_node-1] [INFO] [1785293422.794919739] [mavros.mavros]: Plugin imu initialized
[mavros_node-1] [INFO] [1785293422.806044482] [mavros.mavros]: Plugin landing_target created
[mavros_node-1] [INFO] [1785293422.806102678] [mavros.mavros]: Plugin landing_target initialized
[mavros_node-1] [INFO] [1785293422.818623540] [mavros.mavros]: Plugin local_position created
[mavros_node-1] [INFO] [1785293422.818688864] [mavros.mavros]: Plugin local_position initialized
[mavros_node-1] [INFO] [1785293422.832363625] [mavros.mavros]: Plugin log_transfer created
[mavros_node-1] [INFO] [1785293422.832446227] [mavros.mavros]: Plugin log_transfer initialized
[mavros_node-1] [INFO] [1785293422.843254901] [mavros.mavros]: Plugin mag_calibration_status created
[mavros_node-1] [INFO] [1785293422.843315113] [mavros.mavros]: Plugin mag_calibration_status initialized
[mavros_node-1] [INFO] [1785293422.853508170] [mavros.mavros]: Plugin manual_control created
[mavros_node-1] [INFO] [1785293422.853574388] [mavros.mavros]: Plugin manual_control initialized
[mavros_node-1] [INFO] [1785293422.864308924] [mavros.mavros]: Plugin mocap_pose_estimate created
[mavros_node-1] [INFO] [1785293422.864393125] [mavros.mavros]: Plugin mocap_pose_estimate initialized
[mavros_node-1] [INFO] [1785293422.876948342] [mavros.mavros]: Plugin mount_control created
[mavros_node-1] [INFO] [1785293422.877020986] [mavros.mavros]: Plugin mount_control initialized
[mavros_node-1] [INFO] [1785293422.888594414] [mavros.mavros]: Plugin nav_controller_output created
[mavros_node-1] [INFO] [1785293422.888663509] [mavros.mavros]: Plugin nav_controller_output initialized
[mavros_node-1] [INFO] [1785293422.900502310] [mavros.mavros]: Plugin obstacle_distance created
[mavros_node-1] [INFO] [1785293422.900554365] [mavros.mavros]: Plugin obstacle_distance initialized
[mavros_node-1] [INFO] [1785293422.912031880] [mavros.mavros]: Plugin obstacle_distance_3d created
[mavros_node-1] [INFO] [1785293422.912146705] [mavros.mavros]: Plugin obstacle_distance_3d initialized
[mavros_node-1] [INFO] [1785293422.924232952] [mavros.mavros]: Plugin odometry created
[mavros_node-1] [INFO] [1785293422.924301515] [mavros.mavros]: Plugin odometry initialized
[mavros_node-1] [INFO] [1785293422.936848721] [mavros.mavros]: Plugin onboard_computer_status created
[mavros_node-1] [INFO] [1785293422.936906382] [mavros.mavros]: Plugin onboard_computer_status initialized
[mavros_node-1] [INFO] [1785293422.952967369] [mavros.mavros]: Plugin open_drone_id created
[mavros_node-1] [INFO] [1785293422.953033579] [mavros.mavros]: Plugin open_drone_id initialized
[mavros_node-1] [INFO] [1785293422.968792691] [mavros.mavros]: Plugin optical_flow created
[mavros_node-1] [INFO] [1785293422.968856157] [mavros.mavros]: Plugin optical_flow initialized
[mavros_node-1] [INFO] [1785293422.982186596] [mavros.mavros]: Plugin param created
[mavros_node-1] [INFO] [1785293422.982255303] [mavros.mavros]: Plugin param initialized
[mavros_node-1] [INFO] [1785293422.994900817] [mavros.mavros]: Plugin play_tune created
[mavros_node-1] [INFO] [1785293422.994962931] [mavros.mavros]: Plugin play_tune initialized
[mavros_node-1] [INFO] [1785293423.010129737] [mavros.mavros]: Plugin px4flow created
[mavros_node-1] [INFO] [1785293423.010254688] [mavros.mavros]: Plugin px4flow initialized
[mavros_node-1] [INFO] [1785293423.026820457] [mavros.mavros]: Plugin rallypoint created
[mavros_node-1] [INFO] [1785293423.026965055] [mavros.mavros]: Plugin rallypoint initialized
[mavros_node-1] [INFO] [1785293423.026983887] [mavros.mavros]: Plugin rangefinder ignored
[mavros_node-1] [INFO] [1785293423.043154674] [mavros.mavros]: Plugin rc_io created
[mavros_node-1] [INFO] [1785293423.043234408] [mavros.mavros]: Plugin rc_io initialized
[mavros_node-1] [INFO] [1785293423.058833822] [mavros.mavros]: Plugin setpoint_accel created
[mavros_node-1] [INFO] [1785293423.058908193] [mavros.mavros]: Plugin setpoint_accel initialized
[mavros_node-1] [INFO] [1785293423.075473297] [mavros.mavros]: Plugin setpoint_attitude created
[mavros_node-1] [INFO] [1785293423.075529143] [mavros.mavros]: Plugin setpoint_attitude initialized
[mavros_node-1] [INFO] [1785293423.095169814] [mavros.mavros]: Plugin setpoint_position created
[mavros_node-1] [INFO] [1785293423.095264835] [mavros.mavros]: Plugin setpoint_position initialized
[mavros_node-1] [INFO] [1785293423.114658407] [mavros.mavros]: Plugin setpoint_raw created
[mavros_node-1] [INFO] [1785293423.114731693] [mavros.mavros]: Plugin setpoint_raw initialized
[mavros_node-1] [INFO] [1785293423.134555953] [mavros.mavros]: Plugin setpoint_trajectory created
[mavros_node-1] [INFO] [1785293423.134639363] [mavros.mavros]: Plugin setpoint_trajectory initialized
[mavros_node-1] [INFO] [1785293423.152653274] [mavros.mavros]: Plugin setpoint_velocity created
[mavros_node-1] [INFO] [1785293423.152732467] [mavros.mavros]: Plugin setpoint_velocity initialized
[mavros_node-1] [INFO] [1785293423.171055967] [mavros.mavros]: Plugin sim_state created
[mavros_node-1] [INFO] [1785293423.171124785] [mavros.mavros]: Plugin sim_state initialized
[mavros_node-1] [INFO] [1785293423.197825427] [mavros.mavros]: Plugin sys_status created
