[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-35-51-526104-DESKTOP-Kilogram-14014
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [14023]
[mavros_node-1] [INFO] [1785292551.746670835] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785292551.746860034] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785292551.746878551] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785292551.746885939] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785292551.746891985] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785292551.757601236] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785292551.757685994] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785292551.757705423] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785292551.757713280] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785292551.757778723] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785292551.794435372] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785292551.794537054] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785292551.795101912] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785292551.795142447] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785292551.795200797] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785292551.797784002] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785292551.804438298] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785292551.826218399] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785292551.826377318] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785292551.856117556] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785292551.856227178] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785292551.867854088] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785292551.867961136] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785292551.878698828] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785292551.878807990] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785292551.889783667] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785292551.889923616] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785292551.902560401] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785292551.902719335] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785292551.921204574] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785292551.921341573] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785292551.934654581] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785292551.934767117] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785292551.951886373] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785292551.952012174] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785292551.952032407] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785292551.969504838] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785292551.969646534] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785292551.985925728] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785292551.986028899] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785292552.002131029] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785292552.002245618] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785292552.026627926] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785292552.026797921] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785292552.045803485] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785292552.045942043] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785292552.071871483] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785292552.072007405] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785292552.098023704] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785292552.098161561] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785292552.114777506] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785292552.114967599] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785292552.132465542] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785292552.132553097] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785292552.152138421] [mavros.mavros]: Plugin gps_status created
[mavros_node-1] [INFO] [1785292552.152277500] [mavros.mavros]: Plugin gps_status initialized
[mavros_node-1] [INFO] [1785292552.172330906] [mavros.mavros]: Plugin guided_target created
[mavros_node-1] [INFO] [1785292552.172417893] [mavros.mavros]: Plugin guided_target initialized
[mavros_node-1] [INFO] [1785292552.198685056] [mavros.mavros]: Plugin hil created
[mavros_node-1] [INFO] [1785292552.198812053] [mavros.mavros]: Plugin hil initialized
[mavros_node-1] [INFO] [1785292552.224376665] [mavros.mavros]: Plugin home_position created
[mavros_node-1] [INFO] [1785292552.224606849] [mavros.mavros]: Plugin home_position initialized
[mavros_node-1] [INFO] [1785292552.257349597] [mavros.mavros]: Plugin imu created
