[INFO] [launch]: All log files can be found below /root/.ros/log/2026-07-29-11-22-31-011350-DESKTOP-Kilogram-5327
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [5354]
[mavros_node-1] [INFO] [1785291751.195260620] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785291751.195358538] [mavros.mavros_node]: FCU URL: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785291751.195366362] [mavros.mavros_node]: GCS URL: 
[mavros_node-1] [INFO] [1785291751.195370250] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785291751.195373692] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785291751.202537482] [mavros.mavros_router]: Built-in SIMD instructions: SSE, SSE2
[mavros_node-1] [INFO] [1785291751.202596370] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.6
[mavros_node-1] [INFO] [1785291751.202612073] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh matrixpilot paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785291751.202618074] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785291751.202897462] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785291751.229681281] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: udp://:14540@localhost:14580
[mavros_node-1] [INFO] [1785291751.229778625] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785291751.230283045] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785291751.230330681] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785291751.230352986] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785291751.232091014] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785291751.239630077] [mavros.mavros]: UAS Executor started, threads: 8
[mavros_node-1] [INFO] [1785291751.252166697] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785291751.252247360] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785291751.268724058] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785291751.268781974] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785291751.274091111] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785291751.274154449] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785291751.279087414] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785291751.279132042] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785291751.284272255] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785291751.284330466] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785291751.289682985] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785291751.289737902] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785291751.298987572] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785291751.299048441] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785291751.304781951] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785291751.304838841] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785291751.312080925] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785291751.312143611] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785291751.312153678] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785291751.318432450] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785291751.318501766] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785291751.324717257] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785291751.324767898] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785291751.332325052] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785291751.332391673] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785291751.344214344] [mavros.mavros]: Plugin ftp created
